"","ID","Genotype_rec","Genotype","CMD","DMC","Year","Institutional.source.of.this.variety","Pedigree","CIAT.related","CMD.Resistance","Dry.matter.content..in...","X.1","MATINH","ID.y","X","IDHO","MAHUYEN","MAXA","MADIABAN","HOSO","KYDIEUTRA","M4B12A1_C0A","M4B12A1_C0B","M4B12A1_C0C","M4B12A1_C0D","M4B12A2_C1","M4B12A2_C1A","M4B12A2_C1A_GHIRO","M4B12A3_TENTR","M4B12A3_C2","M4B12A3_C3","M4B12A3_C4","M4B12A3_C5","M4B12A3_C6","M4B12A3_C6_GHIRO","M4B12A3_C7","M4B12A3_C8","M4B12A3_C91","M4B12A3_C92","M4B12A3_C93","M4B12A3_C94","M4B12A3_C95","M4B12A3_C10D","M4B12A3_C10M","M4B12A4_C1","M4B12A4_KD","M4B12A4_VD","M4B12A1_MA","M4B12A1_C1","M4B12A1_C1_GHIRO","M4B12A1_C2","M4B12A1_C3","M4B12A1_C4","M4B12A1_C5","M4B12A1_C6","Province_name","Region"
"187","22","Cao San","sắn trắng/cao sản",TRUE,TRUE,NA,NA,NA,"No",NA,NA,356,26,"26-253-8779006004",1422,8779006004,253,8779,6,4,4,2,2,2,1,1,NA,"","RUỘNG NHÀ",1,1,"là xanh",2,5,"",5,1,1,1,1,1,1,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vinh Phuc","RRD"
"188","220","KM98-5","KM98-5/BRA1305/ARG49",FALSE,FALSE,18,"IAS","Rayong 90  * KM 98-1","Yes","",NA,124,11,"11-101-3371001009",1322,3371001009,101,3371,1,9,4,1,2,2,2,1,NA,"","NƯƠNG SẮN",1,1,"sắn cao sản",1,6,"",5,2,1,1,2,1,1,15,11,NA,NA,NA,1,1,"","99",3358,6,NA,17000,"Dien Bien","NMMA"
"189","222","KM98-5","KM98-5/BRA1305/ARG49",FALSE,FALSE,18,"IAS","Rayong 90  * KM 98-1","Yes","",NA,76,11,"11-100-3365002005",1306,3365002005,100,3365,2,5,4,1,NA,NA,NA,1,NA,"","THỬA 01",1,1,"sắn thường",1,6,"",3,2,2,2,2,2,1,7,11,NA,NA,NA,1,3,"","99",3358,6,NA,13070,"Dien Bien","NMMA"
"190","223","Cao San","cao sản",FALSE,FALSE,NA,NA,NA,"No",NA,NA,91,11,"11-101-3371001003",1316,3371001003,101,3371,1,3,4,1,2,2,2,1,NA,"","NƯƠNG SẮN",1,1,"cao sản",2,6,"",4,2,1,1,1,1,1,13,11,NA,NA,NA,1,1,"","99",3358,4,NA,23000,"Dien Bien","NMMA"
"191","224","Sắn tre","Sắn đỏ ( Sắn tre)",TRUE,TRUE,NA,NA,NA,"No",NA,NA,105,11,"11-96-3158003001",460,3158003001,96,3158,3,1,2,1,NA,NA,NA,1,1,NA,"MẢNH 1",1,1,"sắn thường",1,6,NA,7,2,2,2,2,2,1,25,5,NA,NA,NA,1,4,NA,NA,NA,NA,NA,640,"Dien Bien","NMMA"
"192","225","KM57","KM57_VNM8",TRUE,TRUE,NA,NA,NA,"No",NA,NA,99,11,"11-102-3302016015",508,3302016015,102,3302,16,15,2,2,2,2,1,1,NA,NA,"NƯƠNG SẮN",1,1,"sắn trắng",1,6,NA,3,2,1,2,1,2,1,19,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dien Bien","NMMA"
"193","227","Cao San","cao sản",FALSE,TRUE,NA,NA,NA,"No",NA,NA,80,11,"11-101-3211003001",492,3211003001,101,3211,3,1,2,1,2,2,2,1,NA,NA,"NƯƠNG SAENS",1,1,"cao sản",2,6,NA,4,2,1,1,1,1,1,19,5,NA,NA,NA,1,1,NA,"99",3358,4,NA,5200,"Dien Bien","NMMA"
"194","228","KM98-5","KM98-5/BRA1305/ARG49",FALSE,FALSE,18,"IAS","Rayong 90  * KM 98-1","Yes","",NA,78,11,"11-100-3365002014",1312,3365002014,100,3365,2,14,4,2,2,1,2,1,NA,"","THỬA 1",1,1,"sắn thường",1,6,"",2,2,2,2,2,2,2,18,11,NA,NA,NA,3,2,"","99",3358,5,NA,8800,"Dien Bien","NMMA"
"195","229","KM98-5","KM98-5/BRA1305/ARG49",FALSE,FALSE,18,"IAS","Rayong 90  * KM 98-1","Yes","",NA,90,11,"11-101-3371001001",1314,3371001001,101,3371,1,1,4,1,2,2,2,1,NA,"","NƯƠNG SẮN",1,1,"cao sản",2,6,"",3,2,1,1,1,1,1,6,11,NA,NA,NA,1,2,"","99",3371,5,NA,6500,"Dien Bien","NMMA"
"196","23","Cao San","sắn trắng/cao sản",TRUE,TRUE,NA,NA,NA,"No",NA,NA,359,26,"26-253-8779006013",1425,8779006013,253,8779,6,13,4,2,2,2,1,1,NA,"","NHÀ",1,1,"lá xanh",2,6,"",5,1,1,1,1,2,1,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vinh Phuc","RRD"
"197","230","Other landraces","sắn trắng",TRUE,TRUE,NA,NA,NA,"No",NA,NA,107,11,"11-96-3158003010",462,3158003010,96,3158,3,10,2,1,2,2,2,1,2,NA,"M1",1,1,"sắn thường",1,6,NA,3,2,2,2,1,2,1,25,5,NA,NA,NA,1,4,NA,NA,NA,NA,NA,3240,"Dien Bien","NMMA"
"198","231","KM98-5","KM98-5/BRA1305/ARG49",FALSE,FALSE,18,"IAS","Rayong 90  * KM 98-1","Yes","",NA,102,11,"11-103-3175002010",883,3175002010,103,3175,2,10,1,1,2,2,2,1,NA,NA,"KHÔNG CÓ TÊN",1,1,"Sắn 6 tháng",2,6,NA,3,2,1,1,1,1,1,20,2,NA,NA,NA,1,1,NA,"99",3356,1,NA,6417,"Dien Bien","NMMA"
"199","232","KM98-5","KM98-5/BRA1305/ARG49",FALSE,FALSE,18,"IAS","Rayong 90  * KM 98-1","Yes","",NA,121,11,"11-97-3202001003",482,3202001003,97,3202,1,3,2,1,2,2,2,1,1,NA,"MƯỜNG MƯƠN 1",1,1,"giống địa phương",1,6,NA,6,2,2,1,1,2,1,13,5,NA,NA,NA,1,4,NA,NA,NA,NA,NA,8400,"Dien Bien","NMMA"
"200","234","KM98-5","KM98-5/BRA1305/ARG49",FALSE,FALSE,18,"IAS","Rayong 90  * KM 98-1","Yes","",NA,120,11,"11-97-3202001002",481,3202001002,97,3202,1,2,2,1,2,2,2,1,1,NA,"MƯỜNG MƯƠN 1",1,1,"giống địa phương",1,6,NA,8,2,2,1,1,2,1,7,5,NA,NA,NA,1,4,NA,NA,NA,NA,NA,3600,"Dien Bien","NMMA"
"201","235","KM98-5","KM98-5/BRA1305/ARG49",FALSE,FALSE,18,"IAS","Rayong 90  * KM 98-1","Yes","",NA,88,11,"11-101-3214008011",897,3214008011,101,3214,8,11,1,2,2,1,2,1,1,NA,"MẢNH 1",1,1,"cao sản",1,2,NA,2,2,1,2,1,1,1,22,2,NA,NA,NA,3,1,NA,"99",3356,6,NA,3000,"Dien Bien","NMMA"
"202","236","KM98-5","KM98-5/BRA1305/ARG49",FALSE,FALSE,18,"IAS","Rayong 90  * KM 98-1","Yes","",NA,93,11,"11-101-3371001007",1320,3371001007,101,3371,1,7,4,1,2,2,2,1,NA,"","NƯƠNG SẮN",1,1,"sắn cao sản",1,6,"",5,2,1,1,2,1,1,14,11,NA,NA,NA,1,1,"","99",3358,5,NA,18000,"Dien Bien","NMMA"
