"","MATINH","MAHUYEN","MAXA","MADIABAN","HOSO","IDHO","STT","M4B11A3_C3","M4B11A3_C41","M4B11A3_C42","M4B11A3_C43","M4B11A3_C499","M4B11A3_C5","M4B11A3_C6","M4B11A3_C8","KYDIEUTRA"
"142","04","040","01705","013","012","01705013012",1,"2;4;9;",2,1,2,2,3,2,NA,1
"143","04","040","01705","013","012","01705013012",2,"2;4;7;",2,1,2,2,7,2,NA,1
"144","04","040","01705","013","013","01705013013",0,"2;3;4;",2,1,2,2,2,2,NA,1
"145","04","040","01705","013","013","01705013013",1,"1;2;3;",2,1,2,2,4,2,NA,1
"146","04","040","01705","013","014","01705013014",0,"1;2;3;4;",2,1,2,2,2,2,NA,1
"147","04","040","01705","013","014","01705013014",1,"1;2;3;",2,1,2,2,4,2,NA,1
"148","04","040","01705","013","015","01705013015",0,"8;9;10;12;",1,1,2,2,2,1,NA,1
"149","04","040","01705","013","015","01705013015",1,"7;",1,1,2,2,6,1,NA,1
"150","04","040","01705","013","015","01705013015",2,"20;",1,1,2,2,10,1,NA,1
"151","04","052","01726","007","005","01726007005",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"152","06","058","01849","005","001","01849005001",0,"2;",2,1,2,2,0,1,NA,1
"153","06","058","01849","005","001","01849005001",1,"8;",1,2,2,2,8,1,NA,1
"154","06","058","01849","005","002","01849005002",0,"2;4;",2,1,1,2,3,1,NA,1
"155","06","058","01849","005","002","01849005002",1,"7;",2,1,2,2,8,1,NA,1
"156","06","058","01849","005","002","01849005002",2,"12;",1,2,2,2,12,1,NA,1
"157","06","058","01849","005","004","01849005004",0,"2;",1,2,2,2,2,1,NA,1
"158","06","058","01849","005","004","01849005004",1,"4;",1,2,2,2,7,1,NA,1
"159","06","058","01849","005","005","01849005005",0,"2;",2,1,2,2,7,1,NA,1
"160","06","058","01849","005","005","01849005005",1,"9;",2,1,2,2,11,1,NA,1
"161","06","058","01849","005","006","01849005006",0,"4;",2,1,2,2,9,1,NA,1
"162","06","058","01849","005","007","01849005007",0,"4;8;",2,1,2,2,2,1,NA,1
"163","06","058","01849","005","007","01849005007",1,"4;",2,1,2,2,9,1,NA,1
"164","06","058","01849","005","009","01849005009",0,"2;6;",2,1,2,2,2,1,NA,1
"165","06","058","01849","005","009","01849005009",1,"6;",2,1,2,2,9,1,NA,1
"166","06","058","01849","005","010","01849005010",0,"4;8;",2,1,2,2,2,1,NA,1
"167","06","058","01849","005","010","01849005010",1,"4;",2,1,2,2,4,1,NA,1
"168","06","058","01849","005","012","01849005012",0,"17;20;",1,1,2,2,2,1,NA,1
"169","06","058","01849","005","012","01849005012",1,"6;7;",1,1,2,2,4,2,NA,1
"170","06","058","01849","005","012","01849005012",2,"1;12;",2,1,2,2,5,2,NA,1
"171","06","058","01849","005","012","01849005012",3,"4;7;",2,1,2,2,7,2,NA,1
"172","06","058","01849","005","013","01849005013",0,"4;",2,1,2,2,3,3,NA,1
"173","06","058","01849","005","013","01849005013",1,"5;6;",2,1,2,2,11,3,NA,1
"174","06","064","02035","003","002","02035003002",0,"8;",2,1,2,2,11,1,NA,1
"175","06","064","02035","003","013","02035003013",0,"7;",2,1,2,2,4,1,NA,1
"176","06","064","02044","003","003","02044003003",0,"1;4;7;23;",2,1,2,2,7,1,NA,1
"177","06","064","02044","003","006","02044003006",0,"1;2;4;7;12;18;25;",2,1,2,2,7,1,NA,1
"178","06","064","02044","003","007","02044003007",0,"4;7;20;",2,1,2,2,6,1,NA,1
"179","06","064","02044","003","009","02044003009",0,"4;7;",2,1,2,2,5,1,NA,1
"180","06","064","02044","003","010","02044003010",0,"7;18;",2,1,2,2,4,1,NA,1
"181","06","064","02044","003","011","02044003011",0,"7;10;",2,1,2,2,5,1,NA,1
"182","06","064","02044","003","012","02044003012",0,"4;7;8;9;13;18;19;20;",2,1,2,2,11,1,NA,1
"183","06","064","02044","003","012","02044003012",1,"4;7;20;",1,2,2,2,10,1,NA,1
"184","06","064","02044","003","014","02044003014",0,"4;7;",2,1,2,2,3,1,NA,1
"185","06","064","02047","004","001","02047004001",0,"4;",2,1,2,2,3,1,NA,1
"186","06","064","02047","004","003","02047004003",0,"4;",2,1,2,2,3,1,NA,1
"187","06","064","02047","004","004","02047004004",0,"4;",2,1,2,2,3,1,NA,1
"188","06","064","02047","004","005","02047004005",0,"4;",2,1,2,2,3,1,NA,1
"189","06","064","02047","004","006","02047004006",0,"4;",1,2,2,2,3,1,NA,1
"190","06","064","02047","004","007","02047004007",0,"4;",2,1,2,2,2,1,NA,1
"191","06","064","02047","004","009","02047004009",0,"4;",2,1,2,2,2,1,NA,1
"192","06","064","02047","004","010","02047004010",0,"4;",2,1,2,2,2,1,NA,1
"193","06","064","02047","004","011","02047004011",0,"4;",2,1,2,2,3,1,NA,1
"194","06","064","02047","004","013","02047004013",0,"4;",2,1,2,2,3,1,NA,1
"195","06","064","02047","004","014","02047004014",0,"4;",2,1,2,2,2,1,NA,1
