indNames,01_GIFT,02_GIFTff,03_BEST,04_ExCEL,05_Molobicus,06_NileXMoss,07_Abbassa_10,08_Chitralada,09_FaST,10_Mossambicus,GENOGain,RIA1,Similarity,pop,country
Q1-296,1.23E-223,1.61E-225,5.64E-295,1.54E-256,1.07876269375561e-318,2.96E-243,0,1.13E-253,0,0,0.999999997,3.24E-09,GENOGain,Ha_01,Unspecified
Q1-297,7.00E-158,2.43E-156,2.08E-220,1.14E-177,1.37E-239,6.37E-162,8.32E-230,2.23E-156,6.55E-262,2.61E-288,3.81E-06,0.999996189,RIA1,Ha_02,Unspecified
Q1-315,3.69E-140,1.29E-130,1.30E-185,2.33E-149,4.18E-217,2.09E-144,2.07E-219,1.52E-142,7.83E-271,4.89E-273,6.14E-22,1,RIA1,Ha_34,Unspecified
Q1-316,8.92E-212,3.27E-209,1.36E-285,1.38E-234,7.48E-307,8.20E-224,1.4776057831032e-315,3.78E-227,0,0,2.40E-21,1,RIA1,Ha_18,Unspecified
Q1-33,1.65E-202,1.16E-204,3.69E-274,2.48E-238,8.09342972048243e-313,4.76E-230,3.91081614490805e-318,1.46E-231,0,0,0.971904019,0.028095981,GENOGain,Ha_39,Unspecified
Q1-340,8.99E-187,1.19E-178,2.07E-240,1.26E-196,3.17E-265,1.72E-189,4.23E-260,2.29E-194,9.47E-303,4.95004370568345e-320,2.63E-16,1,RIA1,Ha_33,Unspecified
Q1-343,3.52E-202,1.02E-201,1.45E-270,2.31E-228,1.66E-301,1.39E-222,2.1610569687477e-317,6.19E-220,0,0,3.10E-20,1,RIA1,Ha_34,Unspecified
Q1-344,5.09E-180,3.75E-175,2.02E-236,1.01E-199,1.37E-259,1.39E-180,7.53E-257,2.92E-186,6.04E-304,1.80748932693224e-314,1.43E-19,1,RIA1,Ha_25,Unspecified
Q1-353,1.60E-165,7.04E-161,1.04E-225,4.37E-186,4.60E-255,2.64E-176,6.15E-252,2.79E-173,2.35E-284,1.10954469923329e-312,2.40E-15,1,RIA1,Ha_33,Unspecified
Q1-364,2.20E-100,1.73E-89,4.32E-133,7.34E-105,2.23E-129,1.13E-76,3.89E-165,6.24E-91,1.83E-234,4.02E-165,9.57E-16,1,RIA1,Ha_26,Unspecified
Q1-366,6.04E-181,1.65E-177,2.83E-240,2.10E-200,6.26E-262,5.49E-182,5.73E-230,4.10E-190,0.00E+00,2.50862503407545e-314,1.74E-23,1,RIA1,Ha_31,Unspecified
Q1-367,8.62E-195,1.11E-185,1.32E-252,2.75E-207,2.37E-280,1.24E-202,2.59E-268,3.62E-206,0,0,1.22E-27,1,RIA1,Ha_21,Unspecified
Q1-368,8.24E-188,1.16E-178,3.36E-238,4.07E-204,1.35E-278,7.01E-203,3.01E-283,1.44E-197,0,0,7.29E-26,1,RIA1,Ha_12,Unspecified
Q1-37,6.03E-95,6.56E-82,2.25E-135,4.45E-96,1.68E-122,3.21E-75,3.21E-162,3.24E-86,6.09E-226,1.54E-165,3.75E-11,1,RIA1,Ha_26,Unspecified
Q1-370,2.13E-197,6.07E-201,8.66E-265,1.33E-222,1.57E-298,9.45E-210,2.61E-291,2.61E-213,5.57963155817895e-319,0,1.77E-14,1,RIA1,Ha_02,Unspecified
Q1-371,5.61E-177,1.21E-175,6.55E-243,2.03E-202,3.44E-270,2.10E-190,1.43E-261,1.24E-189,1.57715543075167e-315,0,6.72E-16,1,RIA1,Ha_37,Unspecified
Q1-378,3.45E-163,5.99E-159,1.41E-222,5.19E-176,5.72E-257,3.32E-175,1.27E-239,1.38E-170,4.80E-268,0.00E+00,2.08E-10,1,RIA1,Ha_02,Unspecified
