indNames,01_GIFT,02_GIFTff,03_BEST,04_ExCEL,05_Molobicus,06_NileXMoss,07_Abbassa_10,08_Chitralada,09_FaST,10_Mossambicus,GENOGain,RIA1,Similarity,pop,country
Q1-311,3.03E-248,6.29E-232,2.50E-244,2.84E-238,5.32E-11,1.15E-123,2.12E-307,3.38E-218,0,1,0,0,10_Mossambicus,HH_080,Unspecified
Q1-313,4.58E-241,4.50E-222,1.54E-229,2.88E-231,0.947678901,6.81E-121,3.30E-297,3.59E-210,0,0.052321099,0,0,05_Molobicus,HH_028,Unspecified
Q1-320,1.19E-255,8.26E-235,2.34E-248,4.94E-246,4.64E-22,5.08E-128,6.3334087395444e-317,1.21E-224,0,1,0,0,10_Mossambicus,HH_013,Unspecified
Q1-325,1.01E-162,1.74E-155,1.41E-218,3.51E-177,9.36E-239,4.72E-156,2.00E-234,4.50E-155,1.95E-285,5.64E-281,1.16E-14,1,RIA1,HH_022,Unspecified
Q1-326,3.50E-248,1.70E-227,9.80E-240,1.03E-239,7.09E-10,1.60E-125,0.00E+00,1.38E-216,0,0.999999999,0,0,10_Mossambicus,HH_028,Unspecified
Q1-327,1.06E-218,7.70E-200,4.09E-213,4.51E-209,2.22E-05,1.74E-103,6.65E-273,1.66E-187,1.5782284771059e-318,0.999977812,0,0,10_Mossambicus,HH_021,Unspecified
Q1-333,2.42E-246,1.02E-227,3.42E-238,4.87E-239,6.42E-13,5.52E-128,6.84774288543011e-310,2.53E-219,0,1,0,0,10_Mossambicus,HH_013,Unspecified
Q1-336,9.00E-248,2.61E-229,5.79E-240,1.07E-238,2.44E-10,7.49E-126,5.99E-308,3.24E-216,0,1,0,0,10_Mossambicus,HH_085,Unspecified
Q1-337,2.01E-188,5.16E-182,4.04E-245,1.51E-202,2.21E-278,4.26E-197,2.54E-260,1.91E-197,1.42E-305,0,1.34E-12,1,RIA1,HH_010,Unspecified
Q1-34,1.89E-144,5.44E-123,1.07E-144,2.80E-133,0.000431052,2.89E-50,1.38E-208,1.29E-114,3.99E-253,0.999568948,2.30565614944735e-319,2.7383886168706e-311,10_Mossambicus,HH_008,Unspecified
Q1-342,1.04E-109,8.48E-89,1.25E-69,1.31E-91,1.64E-20,1.43E-17,3.44E-173,3.08E-94,2.96E-223,1,1.46E-239,2.99E-227,10_Mossambicus,HH_032,Unspecified
Q1-345,9.79E-249,6.04E-229,2.15E-241,1.01E-237,1.12E-19,8.35E-124,1.49E-305,1.09E-218,0,1,0,0,10_Mossambicus,HH_026,Unspecified
Q1-347,4.11E-231,3.20E-211,1.97E-221,2.98E-221,3.89E-16,2.43E-108,3.36E-284,1.13E-201,0,1,0,0,10_Mossambicus,HH_021,Unspecified
Q1-348,2.14E-249,1.67E-228,2.25E-240,2.16E-237,8.72E-13,1.21E-123,2.12E-303,7.82E-216,0,1,0,0,10_Mossambicus,HH_029,Unspecified
Q1-349,1.27E-173,3.73E-164,3.46E-230,1.18E-188,2.99E-264,6.80E-185,3.08E-267,4.44E-179,1.17E-281,8.10267659179644e-322,1.89E-20,1,RIA1,HH_042,Unspecified
