"","MATINH","MAHUYEN","MAXA","M43_C2","pfes_dummy","panel"
"316","58","587","22882",NA,0,2024
"317","58","587","22888",NA,0,2024
"318","58","589","22910",NA,0,2024
"319","60","593","22960",NA,0,2024
"320","60","595","22996",NA,0,2024
"321","60","597","23065",7020.23,1,2024
"322","60","597","23104",NA,0,2024
"323","60","598","23119",NA,0,2024
"324","60","599","23179",NA,0,2024
"325","60","602","23275",NA,0,2024
"326","62","608","23320",NA,0,2024
"327","62","611","23395",NA,0,2024
"328","62","612","23440",NA,0,2024
"329","62","617","23449",2230.68,1,2024
"330","62","614","23497",2359.76,1,2024
"331","62","615","23521",NA,0,2024
"332","64","622","23590",NA,0,2024
"333","64","622","23611",NA,0,2024
"334","64","625","23647",1500,1,2024
"335","64","625","23650",7176,1,2024
"336","64","629","23818",NA,0,2024
"337","64","632","23888",NA,0,2024
"338","64","632","23914",NA,0,2024
"339","64","632","23924",NA,0,2024
"340","66","645","24190",NA,0,2024
"341","66","647","24247",NA,0,2024
"342","66","647","24250",NA,0,2024
"343","66","648","24271",NA,0,2024
"344","66","651","24397",NA,0,2024
"345","66","652","24415",1560.34,1,2024
"346","66","653","24487",7745,1,2024
"347","66","654","24496",NA,0,2024
"348","66","657","24541",NA,0,2024
"349","66","657","24550",NA,0,2024
"350","67","660","24618",NA,0,2024
"351","67","662","24658",NA,0,2024
"352","67","663","24677",NA,0,2024
"353","67","663","24685",NA,0,2024
"354","67","667","24742",NA,0,2024
"355","67","666","24745",NA,0,2024
"356","67","667","24746",NA,0,2024
"357","68","672","24808",NA,0,2024
"358","68","676","24904",250,1,2024
"359","68","677","24949",NA,0,2024
"360","68","678","24988",3150,1,2024
"361","68","678","24994",1200,1,2024
"362","68","679","25042",NA,0,2024
"363","68","682","25153",NA,0,2024
"364","70","698","25252",NA,0,2024
"365","70","698","25264",NA,0,2024
"366","70","692","25294",NA,0,2024
"367","70","692","25297",NA,0,2024
"368","70","694","25349",NA,0,2024
"369","70","695","25369",NA,0,2024
"370","70","696","25414",NA,0,2024
"371","72","703","25471",NA,0,2024
"372","72","705","25504",NA,0,2024
"373","72","707","25555",NA,0,2024
"374","72","707","25567",NA,0,2024
"375","72","708","25591",NA,0,2024
"376","72","708","25618",NA,0,2024
"377","72","710","25660",NA,0,2024
"378","72","710","25672",NA,0,2024
"379","72","712","25711",NA,0,2024
"380","72","712","25729",NA,0,2024
"381","74","720","25786",NA,0,2024
"382","74","720","25789",NA,0,2024
"383","74","726","25894",NA,0,2024
"384","75","732","26107",NA,0,2024
"385","75","734","26128",33.5,1,2024
"386","75","734","26152",NA,0,2024
"387","75","735","26194",NA,0,2024
"388","75","737","26272",NA,0,2024
"389","75","738","26305",NA,0,2024
"390","75","738","26320",NA,0,2024
"391","75","739","26359",NA,0,2024
"392","75","740","26422",NA,0,2024
"393","75","742","26485",NA,0,2024
"394","75","742","26503",NA,0,2024
"395","77","748","26572",NA,0,2024
"396","77","753","26701",NA,0,2024
"397","77","754","26707",NA,0,2024
"398","77","754","26728",NA,0,2024
"399","77","754","26731",NA,0,2024
"400","79","783","27499",NA,0,2024
"401","79","783","27535",NA,0,2024
"402","79","784","27586",NA,0,2024
"403","79","784","27592",NA,0,2024
"404","79","785","27598",NA,0,2024
"405","79","785","27628",NA,0,2024
"406","80","794","27718",NA,0,2024
"407","80","796","27751",NA,0,2024
"408","80","798","27820",NA,0,2024
"409","80","800","27874",NA,0,2024
"410","80","802","27967",NA,0,2024
"411","80","802","27973",NA,0,2024
"412","80","803","28033",NA,0,2024
"413","80","804","28045",NA,0,2024
"414","80","806","28132",NA,0,2024
"415","80","807","28162",NA,0,2024
"416","80","807","28198",NA,0,2024
"417","82","816","28318",NA,0,2024
"418","82","819","28432",NA,0,2024
"419","82","820","28444",NA,0,2024
"420","82","817","28477",NA,0,2024
"421","82","820","28495",NA,0,2024
"422","82","820","28507",NA,0,2024
"423","82","822","28627",NA,0,2024
"424","82","822","28636",NA,0,2024
"425","82","822","28645",NA,0,2024
"426","82","822","28648",NA,0,2024
"427","82","816","28717",NA,0,2024
"428","82","816","28729",NA,0,2024
"429","83","829","28783",NA,0,2024
"430","83","829","28786",NA,0,2024
"431","83","831","28840",NA,0,2024
"432","83","831","28846",NA,0,2024
"433","83","833","28940",NA,0,2024
"434","83","833","28966",NA,0,2024
"435","83","834","29014",NA,0,2024
"436","83","834","29026",NA,0,2024
"437","83","836","29122",NA,0,2024
"438","83","836","29125",NA,0,2024
"439","83","837","29188",NA,0,2024
"440","83","837","29194",NA,0,2024
"441","84","844","29278",NA,0,2024
"442","84","844","29284",NA,0,2024
"443","84","845","29320",NA,0,2024
"444","84","846","29347",NA,0,2024
"445","84","847","29398",NA,0,2024
"446","84","848","29437",NA,0,2024
"447","84","848","29440",NA,0,2024
"448","84","849","29467",NA,0,2024
"449","84","851","29515",NA,0,2024
"450","86","857","29599",NA,0,2024
"451","86","858","29644",NA,0,2024
