"","MATINH","MAHUYEN","MAXA","KYDIEUTRA","M41_C5","M41_C6","M41_C71","M41_C72","M41_C73","M41_C74","M41_C75","M41_C75_GHIRO","M42_C1","M42_C2","M42_C3","M42_C4","M42_C5","M42_C6","M42_C7","M42_C8","M42_C9","M42_C13","M42_C141","M42_C142","M42_C143","M42_C144","M42_C144_GHIRO","M42_C151","M42_C152","M42_C153","M42_C154","M42_C154_GHIRO","M43_C1","M43_C2","M43_C3","M43_C41","M43_C42","M43_C43","M43_C44","M43_C45","M43_C45_GHIRO","M43_C91","M43_C92","M43_C93","M43_C9B01","M43_C9B02","M43_C9B03","M43_C9B04","M43_C9B05","M43_C9B06","M43_C9B07","M43_C9B08","M43_C9B09","M43_C9B10","M43_C9B11","M43_C9B11_GHIRO"
"39","11","096","03158",1,2,2,NA,NA,NA,NA,NA,"",2,NA,1,2,1,3,NA,3,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",1,4943.26,2011,2,2,2,2,1,"không có",877.33,12310.42,406.13,2,2,2,2,1,2,1,2,2,2,2,""
"40","11","103","03170",1,2,2,NA,NA,NA,NA,NA,"",1,2,2,1,2,2,NA,2,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",1,1999.22,2013,2,2,2,2,2,"",0,0,1999.22,2,2,1,2,2,2,1,2,2,2,2,""
"41","11","099","03284",1,2,2,NA,NA,NA,NA,NA,"",1,3,1,2,3,2,NA,2,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",1,200,2015,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"42","11","102","03302",1,2,2,NA,NA,NA,NA,NA,"",1,2,1,2,3,2,NA,2,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",1,1295.01,2018,2,2,2,2,1,"người dân và cộng đồng trong xã",1296.48,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"43","11","094","03316",1,2,2,NA,NA,NA,NA,NA,"",2,NA,1,1,1,2,NA,2,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",2,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"44","11","101","03371",1,2,2,NA,NA,NA,NA,NA,"",2,NA,2,1,3,2,NA,2,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",1,9.018,2013,2,2,2,2,1,"nhà nước",9.02,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"45","12","106","03394",1,2,2,NA,NA,NA,NA,NA,"",1,2,1,1,1,2,NA,2,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",1,857,2016,2,2,2,2,2,"",389,0,563,2,2,2,1,1,2,1,2,2,2,2,""
"46","12","112","03503",1,2,2,NA,NA,NA,NA,NA,"",1,3,1,2,2,1,6,2,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",1,4000,2015,1,2,2,2,2,"",2800,700,500,2,2,1,1,2,2,2,2,2,2,2,""
"47","12","108","03526",1,2,2,NA,NA,NA,NA,NA,"",2,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",1,0,2013,2,2,2,2,1,"không",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"48","12","109","03565",1,2,2,NA,NA,NA,NA,NA,"",1,2,1,2,1,2,NA,2,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",1,2135.19,2012,1,2,2,2,2,"",1853.76,0,281.43,2,2,2,2,2,2,2,2,2,2,1,"cây táo mèo, cây chè, cây Tung Qua Sủ..."
"49","12","109","03571",1,2,2,NA,NA,NA,NA,NA,"",1,2,1,2,1,2,NA,2,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",1,1177.63,2012,1,1,2,2,2,"",723.57,0,443.75,2,2,2,2,2,2,1,2,2,2,1,"cây Qua Sủ, gỗ tạp, táo mèo.."
