"","MATINH","Province_name","Region","MAHUYEN","MAXA","MADIABAN","HOSO","IDHO","KYDIEUTRA","app_id","n_app","fert_type","fert_actual","formula","type_other","formula_n","formula_p","formula_k","fert_kg","area_unit","stage","count","id_ea","hh_formula","ea_formula","comm_formula","final_formula"
"41",52,"Tinh Binh Dinh","3_NCCCA",543,21637,22,12,21637022012,2,1,4,6,4,NA,"hỗn hợp",NA,NA,NA,7,3,5,4,"21637022",NA,NA,NA,NA
"42",52,"Tinh Binh Dinh","3_NCCCA",543,21637,22,12,21637022012,2,2,4,6,4,NA,"hỗn hợp",NA,NA,NA,8,3,7,4,"21637022",NA,NA,NA,NA
"43",52,"Tinh Binh Dinh","3_NCCCA",543,21637,22,12,21637022012,2,3,4,6,4,NA,"hỗn hợp",NA,NA,NA,8,3,10,4,"21637022",NA,NA,NA,NA
"44",80,"Tinh Long An","6_MRD",795,27793,1,5,27793001005,2,0,4,6,4,NA,"phân tổng hợp lúa 1",NA,NA,NA,0.01,1,3,4,"27793001",NA,NA,NA,NA
"45",30,"Tinh Hai Duong","1_RRD",299,11176,3,14,11176003014,3,1,2,6,4,NA,"phân tổng hợp",NA,NA,NA,5,2,6,2,"11176003",NA,NA,NA,NA
"46",30,"Tinh Hai Duong","1_RRD",299,11176,3,1,11176003001,3,0,3,6,4,NA,"Phân tông hơp",NA,NA,NA,5,2,3,3,"11176003",NA,NA,NA,NA
"47",30,"Tinh Hai Duong","1_RRD",299,11176,3,1,11176003001,3,2,3,6,4,NA,"Phân tông hơp",NA,NA,NA,5,2,13,3,"11176003",NA,NA,NA,NA
"48",30,"Tinh Hai Duong","1_RRD",299,11176,3,1,11176003001,3,1,3,6,4,NA,"Phân tông hơp",NA,NA,NA,5,2,6,3,"11176003",NA,NA,NA,NA
"49",30,"Tinh Hai Duong","1_RRD",299,11176,3,7,11176003007,3,1,2,6,4,NA,"tông hơp",NA,NA,NA,5,2,4,2,"11176003",NA,NA,NA,NA
"50",30,"Tinh Hai Duong","1_RRD",299,11176,3,7,11176003007,3,0,2,6,4,NA,"phân tổng hợp",NA,NA,NA,3,2,2,2,"11176003",NA,NA,NA,NA
"51",30,"Tinh Hai Duong","1_RRD",299,11176,3,2,11176003002,3,1,3,6,4,NA,"Phân tông hơp",NA,NA,NA,5,2,9,3,"11176003",NA,NA,NA,NA
"52",30,"Tinh Hai Duong","1_RRD",299,11176,3,2,11176003002,3,2,3,6,4,NA,"Phân tông hơp",NA,NA,NA,5,2,15,3,"11176003",NA,NA,NA,NA
"53",30,"Tinh Hai Duong","1_RRD",299,11176,3,2,11176003002,3,0,3,6,4,NA,"Phân tông hơp",NA,NA,NA,5,2,3,3,"11176003",NA,NA,NA,NA
"54",30,"Tinh Hai Duong","1_RRD",299,11176,3,5,11176003005,3,0,3,6,4,NA,"Phân tông hơp",NA,NA,NA,5,2,3,3,"11176003",NA,NA,NA,NA
"55",30,"Tinh Hai Duong","1_RRD",299,11176,3,5,11176003005,3,1,3,6,4,NA,"Phân tông hơp",NA,NA,NA,5,2,6,3,"11176003",NA,NA,NA,NA
"56",30,"Tinh Hai Duong","1_RRD",299,11176,3,5,11176003005,3,2,3,6,4,NA,"Phân tông hơp",NA,NA,NA,5,2,8,3,"11176003",NA,NA,NA,NA
"57",30,"Tinh Hai Duong","1_RRD",299,11176,3,13,11176003013,3,0,1,6,4,NA,"phân tổng hợp",NA,NA,NA,9,2,0,1,"11176003",NA,NA,NA,NA
"58",67,"Tinh Dak Nong","4_Central Highlands",662,24640,10,2,24640010002,3,1,1,6,4,NA,"hỗn hợp",NA,NA,NA,37,4,6,1,"24640010",NA,NA,NA,NA
"59",8,"Tinh Tuyen Quang","2_NMMA",71,2233,6,1,2233006001,4,0,1,6,4,NA,"phân tổng hợp",NA,NA,NA,1,2,1,1,"2233006",NA,NA,NA,NA
"60",8,"Tinh Tuyen Quang","2_NMMA",71,2233,6,3,2233006003,4,0,1,6,4,NA,"phân tổng hợp",NA,NA,NA,1,2,1,1,"2233006",NA,NA,NA,NA
"61",8,"Tinh Tuyen Quang","2_NMMA",71,2233,6,4,2233006004,4,0,1,6,4,NA,"tổng hợp",NA,NA,NA,1,2,1,1,"2233006",NA,NA,NA,NA
"62",8,"Tinh Tuyen Quang","2_NMMA",71,2233,6,5,2233006005,4,0,1,6,4,NA,"tổng hợp",NA,NA,NA,1,2,1,1,"2233006",NA,NA,NA,NA
"63",8,"Tinh Tuyen Quang","2_NMMA",71,2233,6,6,2233006006,4,0,1,6,4,NA,"tổng hợp",NA,NA,NA,1,2,1,1,"2233006",NA,NA,NA,NA
"64",8,"Tinh Tuyen Quang","2_NMMA",71,2233,6,7,2233006007,4,0,1,6,4,NA,"phân tổng hợp",NA,NA,NA,1,2,1,1,"2233006",NA,NA,NA,NA
"65",8,"Tinh Tuyen Quang","2_NMMA",71,2299,12,1,2299012001,4,0,1,6,4,NA,"phân tổng hợp",NA,NA,NA,1,2,1,1,"2299012",NA,NA,NA,NA
"66",8,"Tinh Tuyen Quang","2_NMMA",71,2299,12,2,2299012002,4,0,1,6,4,NA,"phân tổng hợp",NA,NA,NA,1,2,1,1,"2299012",NA,NA,NA,NA
"67",8,"Tinh Tuyen Quang","2_NMMA",71,2299,12,3,2299012003,4,0,1,6,4,NA,"phân tổng hợp",NA,NA,NA,1,2,1,1,"2299012",NA,NA,NA,NA
"68",8,"Tinh Tuyen Quang","2_NMMA",71,2299,12,4,2299012004,4,0,1,6,4,NA,"phân tổng hợp",NA,NA,NA,1,2,1,1,"2299012",NA,NA,NA,NA
"69",8,"Tinh Tuyen Quang","2_NMMA",71,2299,12,5,2299012005,4,0,1,6,4,NA,"phân tổng hợp",NA,NA,NA,1,2,1,1,"2299012",NA,NA,NA,NA
"70",8,"Tinh Tuyen Quang","2_NMMA",71,2299,12,6,2299012006,4,0,1,6,4,NA,"phân tổng hợp",NA,NA,NA,1,2,1,1,"2299012",NA,NA,NA,NA
