"","MATINH","MAHUYEN","MAXA","MADIABAN","HOSO","IDHO","KYDIEUTRA","water_source","other_source","laser","pipe","STT","stage","n_day","reason","sink_feet","count","n_drydown"
"100",4,43,1321,11,10,1321011010,1,4,NA,99,2,NA,NA,NA,NA,NA,1,0
"101",4,43,1321,11,11,1321011011,1,4,NA,99,2,NA,NA,NA,NA,NA,1,0
"102",4,43,1321,11,13,1321011013,1,4,NA,2,2,NA,NA,NA,NA,NA,1,0
"103",4,47,1498,4,1,1498004001,1,4,NA,2,2,0,9,3,6,2,3,3
"104",4,47,1498,4,1,1498004001,1,4,NA,2,2,1,10,3,6,2,3,3
"105",4,47,1498,4,1,1498004001,1,4,NA,2,2,2,12,3,6,2,3,3
"106",4,47,1498,4,2,1498004002,1,4,NA,2,2,0,5,3,6,2,3,3
"107",4,47,1498,4,2,1498004002,1,4,NA,2,2,1,7,3,6,99,3,3
"108",4,47,1498,4,2,1498004002,1,4,NA,2,2,2,4,3,6,99,3,3
"109",4,47,1498,4,3,1498004003,1,3,NA,2,2,NA,NA,NA,NA,NA,1,0
"110",4,47,1498,4,4,1498004004,1,3,NA,99,2,0,7,3,6,2,3,3
"111",4,47,1498,4,4,1498004004,1,3,NA,99,2,1,12,3,6,2,3,3
"112",4,47,1498,4,4,1498004004,1,3,NA,99,2,2,13,3,6,2,3,3
"113",4,47,1498,4,5,1498004005,1,4,NA,2,2,NA,NA,NA,NA,NA,1,0
"114",4,47,1498,4,6,1498004006,1,4,NA,2,2,NA,NA,NA,NA,NA,1,0
"115",4,47,1498,4,7,1498004007,1,4,NA,2,2,NA,NA,NA,NA,NA,1,0
"116",4,47,1498,4,8,1498004008,1,4,NA,99,2,NA,NA,NA,NA,NA,1,0
"117",4,47,1498,4,9,1498004009,1,4,NA,2,2,NA,NA,NA,NA,NA,1,0
"118",4,47,1498,4,10,1498004010,1,4,NA,99,2,NA,NA,NA,NA,NA,1,0
"119",4,47,1498,4,11,1498004011,1,4,NA,99,2,NA,NA,NA,NA,NA,1,0
"120",4,47,1498,4,12,1498004012,1,4,NA,2,2,0,6,3,6,3,3,3
"121",4,47,1498,4,12,1498004012,1,4,NA,2,2,1,7,3,6,3,3,3
"122",4,47,1498,4,12,1498004012,1,4,NA,2,2,2,9,3,6,3,3,3
"123",4,47,1498,4,13,1498004013,1,4,NA,2,2,NA,NA,NA,NA,NA,1,0
"124",4,47,1498,4,14,1498004014,1,4,NA,2,2,NA,NA,NA,NA,NA,1,0
"125",4,47,1498,4,16,1498004016,1,4,NA,2,2,NA,NA,NA,NA,NA,1,0
"126",4,48,1537,4,1,1537004001,1,4,NA,99,2,0,16,7,1,2,1,1
"127",4,48,1537,4,2,1537004002,1,4,NA,99,2,0,17,6,1,2,1,1
"128",4,48,1537,4,3,1537004003,1,4,NA,99,2,0,17,7,1,2,1,1
"129",4,48,1537,4,5,1537004005,1,4,NA,2,2,0,17,5,1,3,1,1
"130",4,48,1537,4,6,1537004006,1,4,NA,2,2,0,17,5,1,1,1,1
