"","MATINH","Province_name","Region","MAHUYEN","MAXA","MADIABAN","HOSO","IDHO","KYDIEUTRA","app_id","n_app","fert_type","type_other","formula_n","formula_p","formula_k","fert_kg","area_unit","stage","count"
"91",2,"Tinh Ha Giang","2_NMMA",34,1186,11,11,1186011011,1,0,3,2,NA,NA,NA,NA,0.28,1,0,3
"92",2,"Tinh Ha Giang","2_NMMA",34,1186,11,11,1186011011,1,1,3,2,NA,NA,NA,NA,0.28,1,6,3
"93",2,"Tinh Ha Giang","2_NMMA",34,1186,11,11,1186011011,1,2,3,2,NA,NA,NA,NA,0.28,1,12,3
"94",2,"Tinh Ha Giang","2_NMMA",34,1186,11,12,1186011012,1,0,2,4,NA,20,20,15,0.05,1,0,2
"95",2,"Tinh Ha Giang","2_NMMA",34,1186,11,12,1186011012,1,1,2,4,NA,20,20,15,0.05,1,11,2
"96",2,"Tinh Ha Giang","2_NMMA",34,1186,11,13,1186011013,1,0,3,4,NA,20,20,15,0.05,1,0,3
"97",2,"Tinh Ha Giang","2_NMMA",34,1186,11,13,1186011013,1,1,3,4,NA,20,20,15,0.05,1,6,3
"98",2,"Tinh Ha Giang","2_NMMA",34,1186,11,13,1186011013,1,2,3,4,NA,20,20,15,0.05,1,12,3
"99",2,"Tinh Ha Giang","2_NMMA",34,1186,11,14,1186011014,1,0,1,4,NA,20,20,20,6,2,2,1
"100",2,"Tinh Ha Giang","2_NMMA",34,1186,11,15,1186011015,1,0,1,4,NA,20,20,20,5,2,2,1
"101",2,"Tinh Ha Giang","2_NMMA",34,1186,11,16,1186011016,1,0,3,4,NA,20,20,15,0.05,1,0,3
"102",2,"Tinh Ha Giang","2_NMMA",34,1186,11,16,1186011016,1,1,3,4,NA,20,20,20,0.05,1,8,3
"103",2,"Tinh Ha Giang","2_NMMA",34,1186,11,16,1186011016,1,2,3,4,NA,20,20,15,0.05,1,14,3
"104",4,"Tinh Cao Bang","2_NMMA",42,1318,9,1,1318009001,1,0,1,2,NA,NA,NA,NA,0.26,1,4,1
"105",4,"Tinh Cao Bang","2_NMMA",42,1318,9,2,1318009002,1,0,1,2,NA,NA,NA,NA,1,1,4,1
"106",4,"Tinh Cao Bang","2_NMMA",42,1318,9,3,1318009003,1,0,1,2,NA,NA,NA,NA,0.25,1,4,1
"107",4,"Tinh Cao Bang","2_NMMA",42,1318,9,4,1318009004,1,0,1,1,NA,46,0,0,0.2,1,10,1
"108",4,"Tinh Cao Bang","2_NMMA",42,1318,9,5,1318009005,1,0,1,1,NA,46,0,0,0.5,1,3,1
"109",4,"Tinh Cao Bang","2_NMMA",42,1318,9,6,1318009006,1,0,1,1,NA,46,0,0,0.2,1,3,1
"110",4,"Tinh Cao Bang","2_NMMA",42,1318,9,7,1318009007,1,0,1,2,NA,NA,NA,NA,0.4,1,10,1
"111",4,"Tinh Cao Bang","2_NMMA",42,1318,9,9,1318009009,1,0,1,4,NA,0,0,0,0.1,1,2,1
"112",4,"Tinh Cao Bang","2_NMMA",42,1318,9,10,1318009010,1,NA,0,NA,NA,NA,NA,NA,NA,2,NA,1
"113",4,"Tinh Cao Bang","2_NMMA",42,1318,9,11,1318009011,1,NA,0,NA,NA,NA,NA,NA,NA,2,NA,1
"114",4,"Tinh Cao Bang","2_NMMA",42,1318,9,12,1318009012,1,0,1,2,NA,20,20,15,0.3,1,5,1
"115",4,"Tinh Cao Bang","2_NMMA",42,1318,9,13,1318009013,1,0,1,2,NA,NA,NA,NA,0.3,1,5,1
"116",4,"Tinh Cao Bang","2_NMMA",42,1318,9,14,1318009014,1,0,1,2,NA,NA,NA,NA,0.3,1,7,1
"117",4,"Tinh Cao Bang","2_NMMA",42,1318,9,15,1318009015,1,0,1,2,NA,NA,NA,NA,0.3,1,5,1
"118",4,"Tinh Cao Bang","2_NMMA",43,1321,11,2,1321011002,1,1,1,1,NA,46,0,0,0.01,1,3,1
