MATINH,IDHO,MAHUYEN,MAXA,MADIABAN,HOSO,breeding_main_variety,Correct_name.DNA2,breeding_seed_origin,breeding_seed_duration,Decision,Convergence.on.Year,IRRI_Parentage,Saltol,qSub1,breeding_certified_seed,KYDIEUTRA,mech_mini_combiner,mech_combine_harvester,mech_straw_baler,mech_row_seeder,mech_seed_blower,straw_burn,straw_incorporated_soil,straw_mulching,straw_other,straw_remove_completely,straw_remove_partly,straw_rm_compost,straw_rm_cooking,straw_rm_livestock,straw_rm_mushroom,straw_rm_other,straw_rm_sold,panel,weight_final_rice,weight_rice_DNA,THUNHAP,TONGCHITIEU,ethnic,rls_head,age,edu_grade,n_member,male,female,internet,land_area_sum,poor_commune,dummy_main_str,dist_main_str,type_main_str,dummy_local_market_wholesale,dist_market_wholesale,dummy_ext_center,dist_ext_center,farmer_participation_pct,dummy_protection_staff,main_str_asphalt,IRRI_Parentage_edited,Quintiles,Bottom_20,Bottom_40,Sub1
51,21490013005,535,21490,013,005,,,,,,,,,,,9,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2022,531.112832590521,,77437,,1,1,54,2,3,1,0,0,3000,1,1,,1,0,0,0,15,,0,1,0,,,,
51,21490013006,535,21490,013,006,,,,,,,,,,,9,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2022,531.112832590521,,93817,41225,1,1,59,3,6,1,0,0,1500,1,1,,1,0,0,0,15,,0,1,0,1,1,1,
51,21490013007,535,21490,013,007,,,,,,,,,,,9,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2022,531.112832590521,,72361,,1,1,39,9,3,1,0,0,10500,1,1,,1,0,0,0,15,,0,1,0,,,,
51,21490013008,535,21490,013,008,,,,,,,,,,,9,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2022,531.112832590521,,15492,,1,1,63,,1,0,1,0,500,1,1,,1,0,0,0,15,,0,1,0,,,,
51,21490013009,535,21490,013,009,,,,,,,,,,,9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2022,531.112832590521,,45407,,1,1,30,8,4,1,0,1,500,1,1,,1,0,0,0,15,,0,1,0,,,,
51,21490013011,535,21490,013,011,,,,,,,,,,,9,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2022,531.112832590521,,34994,29304,1,1,67,3,2,1,0,0,1000,1,1,,1,0,0,0,15,,0,1,0,1,1,1,
51,21490013012,535,21490,013,012,,,,,,,,,,,9,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2022,531.112832590521,,46225,,1,1,47,5,4,1,0,0,21500,1,1,,1,0,0,0,15,,0,1,0,,,,
51,21490013013,535,21490,013,013,,,,,,,,,,,9,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2022,531.112832590521,,64512,,1,1,77,,4,0,1,0,3000,1,1,,1,0,0,0,15,,0,1,0,,,,
51,21490013014,535,21490,013,014,,,,,,,,,,,9,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2022,531.112832590521,,37151,9504.5,1,1,28,7,3,1,0,0,570,1,1,,1,0,0,0,15,,0,1,0,1,1,1,
51,21490013015,535,21490,013,015,,,,,,,,,,,9,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2022,531.112832590521,,64560,,1,1,64,,4,0,1,0,1000,1,1,,1,0,0,0,15,,0,1,0,,,,
51,21523017001,535,21523,017,001,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2022,430.638107742507,,33265,,1,1,29,5,3,1,0,0,11000,1,1,,1,0,73,0,13,,1,1,0,,,,
51,21523017002,535,21523,017,002,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2022,430.638107742507,,42071,,1,1,41,,2,0,1,1,10000,1,1,,1,0,73,0,13,,1,1,0,,,,
51,21523017003,535,21523,017,003,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2022,430.638107742507,,131040,91304.5,1,1,61,8,5,1,0,0,13000,1,1,,1,0,73,0,13,,1,1,0,4,0,0,
51,21523017004,535,21523,017,004,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2022,430.638107742507,,74412,,1,1,51,,3,1,0,0,11000,1,1,,1,0,73,0,13,,1,1,0,,,,
