"","IDHO","MATINH","MAHUYEN","MAXA","MADIABAN","HOSO","KYDIEUTRA","STT","M4B51A_C6","M4B51A_C7","M4B51A_C8","M4B51A_C9","M4B51A_C9_GHIRO","M4B51A_C10","M4B51A_C11"
"145","04768003009","15","141","04768","003","009",1,0,1,360,2,1,NA,2,2
"146","04768003015","15","141","04768","003","015",1,0,1,900,2.5,1,NA,2,2
"147","06472005014","20","187","06472","005","014",1,0,1,200,0.7,2,NA,3,2
"148","08179008001","25","232","08179","008","001",1,0,1,120,2,2,NA,3,2
"149","08179008007","25","232","08179","008","007",1,0,1,360,3,2,NA,3,2
"150","08443003011","25","236","08443","003","011",1,0,1,360,2,1,NA,2,2
"151","10771008014","30","293","10771","008","014",1,0,1,150,10,1,NA,2,2
"152","11059010013","30","297","11059","010","013",1,0,1,200,4,2,NA,3,2
"153","11092003011","30","298","11092","003","011",1,0,1,360000,1.8,1,NA,2,2
"154","11971007008","33","323","11971","007","008",1,0,1,1000,1.8,1,NA,2,2
"155","15046006007","38","388","15046","006","007",1,0,1,150,1.3,1,NA,2,2
"156","15136014013","38","390","15136","014","013",1,0,1,500,2,5,"ao",2,2
"157","16204003014","38","402","16204","003","014",1,0,1,500,1,2,NA,2,2
"158","16636014005","38","407","16636","014","005",1,0,1,100,0.8,3,NA,2,2
"159","17554009005","40","426","17554","009","005",1,0,1,15,40,1,NA,3,2
"160","23023020001","60","596","23023","020","001",1,0,1,6000,2,2,NA,2,2
"161","24709006010","67","664","24709","006","010",1,0,1,5000,0.8,3,NA,2,1
"162","28708030009","82","816","28708","030","009",1,0,1,300,2.5,5,"ao nhà",2,2
"163","28708030012","82","816","28708","030","012",1,0,1,800,1.6,1,NA,3,2
"164","32035007003","96","964","32035","007","003",1,0,3,12900,0.6,4,NA,2,2
"165","32035007005","96","964","32035","007","005",1,0,3,3870,0.5,3,NA,2,2
"166","32035007006","96","964","32035","007","006",1,0,3,6,0.6,3,NA,2,2
"167","32035007007","96","964","32035","007","007",1,0,3,12900,0.7,3,NA,2,2
"168","32035007009","96","964","32035","007","009",1,0,3,5180,0.7,3,NA,2,2
"169","32035007010","96","964","32035","007","010",1,0,3,10320,6,4,NA,2,2
"170","32035007011","96","964","32035","007","011",1,0,3,7740,0.6,3,NA,2,2
"171","32035007012","96","964","32035","007","012",1,0,3,3225,6,3,NA,2,2
"172","32035007013","96","964","32035","007","013",1,0,3,12900,0.7,3,NA,2,2
"173","32035007014","96","964","32035","007","014",1,0,3,12900,6,3,NA,2,2
"174","32086012002","96","967","32086","012","002",1,0,1,7000,1,1,NA,2,2
"175","32086012007","96","967","32086","012","007",1,0,3,20000,0.4,1,NA,3,2
"176","32086012008","96","967","32086","012","008",1,0,1,25920,0.8,1,NA,2,2
"177","32086012010","96","967","32086","012","010",1,0,1,19440,0.8,1,NA,2,2
"178","32086012011","96","967","32086","012","011",1,0,1,9072,0.5,1,NA,3,2
"179","32086012012","96","967","32086","012","012",1,0,1,7776,0.9,1,NA,2,2
"180","32086012014","96","967","32086","012","014",1,0,3,14256,0.4,1,NA,3,2
"181","32086012015","96","967","32086","012","015",1,0,3,12960,0.6,1,NA,3,2
"182","32174002011","96","970","32174","002","011",1,0,4,17500,1.5,1,NA,3,2
"183","32174002013","96","970","32174","002","013",1,0,1,16000,1.5,1,NA,2,2
"184","32188012004","96","970","32188","012","004",1,0,3,40000,0.7,1,NA,2,2
