"","MATINH","ID","X","IDHO","MAHUYEN","MAXA","MADIABAN","HOSO","KYDIEUTRA","M4B12A1_C0A","M4B12A1_C0B","M4B12A1_C0C","M4B12A1_C0D","M4B12A2_C1","M4B12A2_C1A","M4B12A2_C1A_GHIRO","M4B12A3_TENTR","M4B12A3_C2","M4B12A3_C3","M4B12A3_C4","M4B12A3_C5","M4B12A3_C6","M4B12A3_C6_GHIRO","M4B12A3_C7","M4B12A3_C8","M4B12A3_C91","M4B12A3_C92","M4B12A3_C93","M4B12A3_C94","M4B12A3_C95","M4B12A3_C10D","M4B12A3_C10M","M4B12A3_C11","M4B12A4_C1","M4B12A4_KD","M4B12A4_VD","M4B12A1_MA","M4B12A1_C1","M4B12A1_C1_GHIRO","M4B12A1_C2","M4B12A1_C3","M4B12A1_C4","M4B12A1_C5","M4B12A1_C6","Province_name","Region"
"33",2,"2-35-1228002001",31,1228002001,35,1228,2,1,3,2,2,2,1,1,NA,"","THÔN NẶM NGOA",1,1,"Sắn Chuối",1,6,"",20,2,2,1,1,1,1,16,8,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ha Giang","NMMA"
"34",2,"2-35-1228002002",30,1228002002,35,1228,2,2,3,1,2,2,2,1,NA,"","NẶM NGOA",1,1,"sắn cao sản",2,6,"",2,2,1,1,1,1,1,16,8,52,NA,NA,NA,1,1,"","99",1156,2,NA,4604,"Ha Giang","NMMA"
"35",2,"2-35-1228002003",32,1228002003,35,1228,2,3,3,1,2,2,2,1,NA,"","NẶM NGOA",1,1,"sắn lá tre",2,6,"",3,2,1,1,1,1,1,16,8,54,NA,NA,NA,1,1,"","99",1156,1,NA,5116,"Ha Giang","NMMA"
"36",2,"2-35-1246006001",1262,1246006001,35,1246,6,1,4,2,2,2,1,1,NA,"","SẮN",1,1,"sắn xanh",1,6,"",7,2,1,1,1,2,1,15,11,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ha Giang","NMMA"
"37",2,"2-35-1246006003",1263,1246006003,35,1246,6,3,4,2,2,2,1,1,NA,"","THÔN HẠ",1,1,"Sắn xanh",1,6,"",5,2,2,1,1,2,1,15,11,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ha Giang","NMMA"
"38",2,"2-34-1189008015",423,1189008015,34,1189,8,15,2,2,2,2,1,1,NA,NA,"MINH TÂN",1,1,"địa phương",1,6,NA,5,2,2,2,1,1,1,20,5,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ha Giang","NMMA"
"39",4,"4-48-1573004005",1266,1573004005,48,1573,4,5,4,2,2,2,1,1,NA,"","THỀNH PÒ",1,1,"địa phương",1,6,"",3,2,2,2,1,2,1,9,11,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cao Bang","NMMA"
"40",4,"4-48-1573004007",1268,1573004007,48,1573,4,7,4,1,2,2,2,1,NA,"","BẢN CÁU",1,1,"cao sảng thân thân trắng",2,4,"",2,2,1,2,1,2,1,9,11,94,NA,NA,NA,1,1,"","công ty cổ phần Khánh Hạ",1267,1,NA,2300,"Cao Bang","NMMA"
"41",4,"4-48-1573004011",1271,1573004011,48,1573,4,11,4,1,2,2,2,1,NA,"","PẢI TỲ",1,2,"cao sản thân trắng",2,4,"",2,2,1,2,1,2,1,9,11,87,NA,NA,NA,1,1,"","công ty Khánh Hạ",1267,1,NA,2700,"Cao Bang","NMMA"
"42",4,"4-48-1573004004",1265,1573004004,48,1573,4,4,4,1,2,2,2,1,NA,"","NÀ HANG",1,2,"Cao  sản",2,3,"",2,2,2,1,1,2,1,9,11,88,NA,NA,NA,1,2,"","nhà máy chế biến tinh bột sắn cao bằng",1696,1,NA,7000,"Cao Bang","NMMA"
"43",4,"4-48-1573004013",1273,1573004013,48,1573,4,13,4,1,2,2,2,1,NA,"","RAY KHỐNG",1,2,"sắn cao sản",2,3,"",2,2,1,2,1,2,1,9,11,91,NA,NA,NA,1,2,"","nhà máy chế biến tinh bột sắn cao bằng",1696,1,NA,6000,"Cao Bang","NMMA"
"44",6,"6-60-1858004012",435,1858004012,60,1858,4,12,2,2,2,2,1,1,NA,NA,"NẶM SAM",1,1,"mì kè",1,6,NA,2,2,2,2,2,2,2,25,5,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bac Can","NMMA"
"45",6,"6-61-1933001002",436,1933001002,61,1933,1,2,2,2,2,2,1,1,NA,NA,"NÀ KÈ",1,1,"sắn ta",1,6,NA,2,2,2,2,2,2,1,16,5,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bac Can","NMMA"
"46",8,"8-71-2233006007",1277,2233006007,71,2233,6,7,4,2,2,2,1,1,NA,"","BẢN THÀNG",1,1,"km140",1,2,"",2,2,2,1,1,1,1,4,11,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tuyen Quang","NMMA"
"47",8,"8-71-2233006009",1278,2233006009,71,2233,6,9,4,2,2,2,1,1,NA,"","BẢN THÀNG",1,1,"lá tre",1,6,"",10,2,2,2,2,2,2,4,11,136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tuyen Quang","NMMA"
"48",8,"8-71-2233006011",1279,2233006011,71,2233,6,11,4,2,2,2,1,1,NA,"","BẢN THÀNG",1,1,"sắn xanh",1,6,"",10,2,2,2,1,2,2,5,11,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tuyen Quang","NMMA"
"49",8,"8-71-2233006003",1276,2233006003,71,2233,6,3,4,2,2,2,1,1,NA,"","BẢM THÀNG",1,1,"km140",1,2,"",2,2,2,1,1,1,1,5,11,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tuyen Quang","NMMA"
"50",8,"8-71-2299012001",1281,2299012001,71,2299,12,1,4,2,2,2,1,1,NA,"","BẢN CẬU",1,1,"sắn lá tre",1,2,"",2,2,1,1,1,1,1,7,11,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tuyen Quang","NMMA"
"51",8,"8-71-2299012003",1282,2299012003,71,2299,12,3,4,2,2,2,1,1,NA,"","BẢN CẬU",1,1,"lá tre",1,2,"",2,2,1,1,1,1,1,9,11,133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tuyen Quang","NMMA"
"52",8,"8-71-2299012007",1283,2299012007,71,2299,12,7,4,2,2,2,1,1,NA,"","BẢN CẬU",1,1,"km94",1,2,"",3,2,1,1,1,1,1,10,11,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tuyen Quang","NMMA"
"53",8,"8-71-2299012009",1284,2299012009,71,2299,12,9,4,2,2,2,1,1,NA,"","BẢN CẬU",1,1,"sắn xanh",2,6,"",2,2,1,1,1,2,2,8,11,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tuyen Quang","NMMA"
"54",8,"8-71-2299012011",1285,2299012011,71,2299,12,11,4,2,2,2,1,1,NA,"","BẢN CẬU",1,1,"sắn xanh",99,6,"",2,2,1,2,1,2,1,8,11,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tuyen Quang","NMMA"
"55",8,"8-73-2326001001",1288,2326001001,73,2326,1,1,4,2,2,2,1,1,NA,"","NÀ NẺM",1,1,"Lá Tre",1,6,"",5,2,1,1,1,1,1,10,11,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tuyen Quang","NMMA"
"56",8,"8-73-2326001003",1289,2326001003,73,2326,1,3,4,2,2,2,1,1,NA,"","PÙ THUNG",1,1,"HN5",99,6,"",2,2,2,2,1,2,1,8,11,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tuyen Quang","NMMA"
"57",8,"8-73-2326001009",1290,2326001009,73,2326,1,9,4,2,2,2,1,1,NA,"","KHUỔI TỐM",1,1,"sắn",99,6,"",2,2,1,2,1,2,1,4,11,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tuyen Quang","NMMA"
