"MATINH","province_name","MAHUYEN","district_name","MAXA","commune_name","n_rice_hh"
"01","Ha Noi","268","Ha Dong","09562","Yen Nghia",18
"01","Ha Noi","268","Ha Dong","09565","Kien Hung",1251
"01","Ha Noi","268","Ha Dong","09568","Phu Lam",605
"01","Ha Noi","268","Ha Dong","09571","Phu Luong",3554
"01","Ha Noi","268","Ha Dong","09886","Duong Noi",598
"01","Ha Noi","268","Ha Dong","10117","Dong Mai",516
"01","Ha Noi","268","Ha Dong","10123","Bien Giang",492
"01","Ha Noi","269","Son Tay","09574","Le Loi",0
"01","Ha Noi","269","Son Tay","09577","Phu Thinh",234
"01","Ha Noi","269","Son Tay","09580","Ngo Quyen",0
"01","Ha Noi","269","Son Tay","09583","Quang Trung",50
"01","Ha Noi","269","Son Tay","09586","Son Loc",0
"01","Ha Noi","269","Son Tay","09589","Xuan Khanh",96
"01","Ha Noi","269","Son Tay","09592","Duong Lam",1139
"01","Ha Noi","269","Son Tay","09595","Vien Son",821
"01","Ha Noi","269","Son Tay","09598","Xuan Son",1067
"01","Ha Noi","269","Son Tay","09601","Trung Hung",868
"01","Ha Noi","269","Son Tay","09604","Thanh My",1453
"01","Ha Noi","269","Son Tay","09607","Trung Son Tram",510
"01","Ha Noi","269","Son Tay","09610","Kim Son",600
"01","Ha Noi","269","Son Tay","09613","Son Dong",1676
"01","Ha Noi","269","Son Tay","09616","Co Dong",2017
"01","Ha Noi","271","Ba Vi","09619","Tay Dang",2315
"01","Ha Noi","271","Ba Vi","09625","Phu Cuong",1203
"01","Ha Noi","271","Ba Vi","09628","Co Do",1163
"01","Ha Noi","271","Ba Vi","09631","Tan Hong",2161
"01","Ha Noi","271","Ba Vi","09634","Van Thang",2637
"01","Ha Noi","271","Ba Vi","09637","Chau Son",742
"01","Ha Noi","271","Ba Vi","09640","Phong Van",1123
"01","Ha Noi","271","Ba Vi","09643","Phu Dong",1022
"01","Ha Noi","271","Ba Vi","09646","Phu Phuong",1148
"01","Ha Noi","271","Ba Vi","09649","Phu Chau",1736
"01","Ha Noi","271","Ba Vi","09652","Thai Hoa",1443
"01","Ha Noi","271","Ba Vi","09655","Dong Thai",2239
"01","Ha Noi","271","Ba Vi","09658","Phu Son",1702
"01","Ha Noi","271","Ba Vi","09661","Minh Chau",1
"01","Ha Noi","271","Ba Vi","09664","Vat Lai",2412
"01","Ha Noi","271","Ba Vi","09667","Chu Minh",834
"01","Ha Noi","271","Ba Vi","09670","Tong Bat",1844
"01","Ha Noi","271","Ba Vi","09673","Cam Linh",1967
"01","Ha Noi","271","Ba Vi","09676","Son Da",1683
"01","Ha Noi","271","Ba Vi","09679","Dong Quang",917
"01","Ha Noi","271","Ba Vi","09682","Tien Phong",1651
"01","Ha Noi","271","Ba Vi","09685","Thuy An",1220
"01","Ha Noi","271","Ba Vi","09688","Cam Thuong",1134
"01","Ha Noi","271","Ba Vi","09691","Thuan My",962
"01","Ha Noi","271","Ba Vi","09694","Tan Linh",2089
"01","Ha Noi","271","Ba Vi","09697","Ba Trai",1594
"01","Ha Noi","271","Ba Vi","09700","Minh Quang",2480
"01","Ha Noi","271","Ba Vi","09703","Ba Vi",289
"01","Ha Noi","271","Ba Vi","09706","Van Hoa",1665
"01","Ha Noi","271","Ba Vi","09709","Yen Bai",1061
"01","Ha Noi","271","Ba Vi","09712","Khanh Thuong",1439
"01","Ha Noi","272","Phuc Tho","09715","Phuc Tho",1174
"01","Ha Noi","272","Phuc Tho","09718","Van Ha",0
"01","Ha Noi","272","Phuc Tho","09721","Van Phuc",943
"01","Ha Noi","272","Phuc Tho","09724","Van Nam",215
"01","Ha Noi","272","Phuc Tho","09727","Xuan Phu",918
"01","Ha Noi","272","Phuc Tho","09730","Phuong Do",66
"01","Ha Noi","272","Phuc Tho","09733","Sen Chieu",1496
"01","Ha Noi","272","Phuc Tho","09736","Cam Dinh",425
"01","Ha Noi","272","Phuc Tho","09739","Vong Xuyen",2475
"01","Ha Noi","272","Phuc Tho","09742","Tho Loc",1120
