"MATINH","province_name","MAHUYEN","district_name","MAXA","commune_name","n_coffee_hh"
"01","Ha Noi","250","Me Linh","08983","Tien Thang",0
"01","Ha Noi","250","Me Linh","08986","Tu Lap",0
"01","Ha Noi","250","Me Linh","08989","Quang Minh",0
"01","Ha Noi","250","Me Linh","08992","Thanh Lam",0
"01","Ha Noi","250","Me Linh","08995","Tam Dong",0
"01","Ha Noi","250","Me Linh","08998","Lien Mac",0
"01","Ha Noi","250","Me Linh","09001","Van Yen",0
"01","Ha Noi","250","Me Linh","09004","Chu Phan",0
"01","Ha Noi","250","Me Linh","09007","Tien Thinh",0
"01","Ha Noi","250","Me Linh","09010","Me Linh",0
"01","Ha Noi","250","Me Linh","09013","Van Khe",0
"01","Ha Noi","250","Me Linh","09016","Hoang Kim",0
"01","Ha Noi","250","Me Linh","09019","Tien Phong",0
"01","Ha Noi","250","Me Linh","09022","Trang Viet",0
"01","Ha Noi","268","Ha Dong","09542","Van Quan",0
"01","Ha Noi","268","Ha Dong","09544","Van Phuc",0
"01","Ha Noi","268","Ha Dong","09551","La Khe",0
"01","Ha Noi","268","Ha Dong","09552","Phu La",0
"01","Ha Noi","268","Ha Dong","09553","Phuc La",0
"01","Ha Noi","268","Ha Dong","09562","Yen Nghia",0
"01","Ha Noi","268","Ha Dong","09565","Kien Hung",0
"01","Ha Noi","268","Ha Dong","09568","Phu Lam",0
"01","Ha Noi","268","Ha Dong","09571","Phu Luong",0
"01","Ha Noi","268","Ha Dong","09886","Duong Noi",0
"01","Ha Noi","268","Ha Dong","10117","Dong Mai",0
"01","Ha Noi","268","Ha Dong","10123","Bien Giang",0
"01","Ha Noi","269","Son Tay","09574","Le Loi",0
"01","Ha Noi","269","Son Tay","09577","Phu Thinh",0
"01","Ha Noi","269","Son Tay","09580","Ngo Quyen",0
"01","Ha Noi","269","Son Tay","09583","Quang Trung",0
"01","Ha Noi","269","Son Tay","09586","Son Loc",0
"01","Ha Noi","269","Son Tay","09589","Xuan Khanh",0
"01","Ha Noi","269","Son Tay","09592","Duong Lam",0
"01","Ha Noi","269","Son Tay","09595","Vien Son",0
"01","Ha Noi","269","Son Tay","09598","Xuan Son",0
"01","Ha Noi","269","Son Tay","09601","Trung Hung",0
"01","Ha Noi","269","Son Tay","09604","Thanh My",0
"01","Ha Noi","269","Son Tay","09607","Trung Son Tram",0
"01","Ha Noi","269","Son Tay","09610","Kim Son",0
"01","Ha Noi","269","Son Tay","09613","Son Dong",0
"01","Ha Noi","269","Son Tay","09616","Co Dong",0
"01","Ha Noi","271","Ba Vi","09619","Tay Dang",0
"01","Ha Noi","271","Ba Vi","09625","Phu Cuong",0
"01","Ha Noi","271","Ba Vi","09628","Co Do",0
"01","Ha Noi","271","Ba Vi","09631","Tan Hong",0
"01","Ha Noi","271","Ba Vi","09634","Van Thang",0
"01","Ha Noi","271","Ba Vi","09637","Chau Son",0
"01","Ha Noi","271","Ba Vi","09640","Phong Van",0
"01","Ha Noi","271","Ba Vi","09643","Phu Dong",0
"01","Ha Noi","271","Ba Vi","09646","Phu Phuong",0
"01","Ha Noi","271","Ba Vi","09649","Phu Chau",0
"01","Ha Noi","271","Ba Vi","09652","Thai Hoa",0
"01","Ha Noi","271","Ba Vi","09655","Dong Thai",0
"01","Ha Noi","271","Ba Vi","09658","Phu Son",0
"01","Ha Noi","271","Ba Vi","09661","Minh Chau",0
"01","Ha Noi","271","Ba Vi","09664","Vat Lai",0
"01","Ha Noi","271","Ba Vi","09667","Chu Minh",0
"01","Ha Noi","271","Ba Vi","09670","Tong Bat",0
"01","Ha Noi","271","Ba Vi","09673","Cam Linh",0
"01","Ha Noi","271","Ba Vi","09676","Son Da",0
"01","Ha Noi","271","Ba Vi","09679","Dong Quang",0
"01","Ha Noi","271","Ba Vi","09682","Tien Phong",0
"01","Ha Noi","271","Ba Vi","09685","Thuy An",0
"01","Ha Noi","271","Ba Vi","09688","Cam Thuong",0
"01","Ha Noi","271","Ba Vi","09691","Thuan My",0
"01","Ha Noi","271","Ba Vi","09694","Tan Linh",0
"01","Ha Noi","271","Ba Vi","09697","Ba Trai",0
"01","Ha Noi","271","Ba Vi","09700","Minh Quang",0
"01","Ha Noi","271","Ba Vi","09703","Ba Vi",0
"01","Ha Noi","271","Ba Vi","09706","Van Hoa",0
"01","Ha Noi","271","Ba Vi","09709","Yen Bai",0
"01","Ha Noi","271","Ba Vi","09712","Khanh Thuong",0
"01","Ha Noi","272","Phuc Tho","09715","Phuc Tho",0
"01","Ha Noi","272","Phuc Tho","09718","Van Ha",0
"01","Ha Noi","272","Phuc Tho","09721","Van Phuc",0
"01","Ha Noi","272","Phuc Tho","09724","Van Nam",0
"01","Ha Noi","272","Phuc Tho","09727","Xuan Phu",0
"01","Ha Noi","272","Phuc Tho","09730","Phuong Do",0
"01","Ha Noi","272","Phuc Tho","09733","Sen Chieu",0
"01","Ha Noi","272","Phuc Tho","09736","Cam Dinh",0
"01","Ha Noi","272","Phuc Tho","09739","Vong Xuyen",0
"01","Ha Noi","272","Phuc Tho","09742","Tho Loc",0
"01","Ha Noi","272","Phuc Tho","09745","Long Xuyen",0
"01","Ha Noi","272","Phuc Tho","09748","Thuong Coc",0
"01","Ha Noi","272","Phuc Tho","09751","Hat Mon",0
"01","Ha Noi","272","Phuc Tho","09754","Tich Giang",0
"01","Ha Noi","272","Phuc Tho","09757","Thanh Da",0
"01","Ha Noi","272","Phuc Tho","09760","Trach My Loc",0
"01","Ha Noi","272","Phuc Tho","09763","Phuc Hoa",0
"01","Ha Noi","272","Phuc Tho","09766","Ngoc Tao",0
"01","Ha Noi","272","Phuc Tho","09769","Phung Thuong",0
"01","Ha Noi","272","Phuc Tho","09772","Tam Thuan",0
"01","Ha Noi","272","Phuc Tho","09775","Tam Hiep",0
"01","Ha Noi","272","Phuc Tho","09778","Hiep Thuan",0
"01","Ha Noi","272","Phuc Tho","09781","Lien Hiep",0
"01","Ha Noi","273","Dan Phuong","09784","Phung",0
"01","Ha Noi","273","Dan Phuong","09787","Trung Chau",0
"01","Ha Noi","273","Dan Phuong","09790","Tho An",0
"01","Ha Noi","273","Dan Phuong","09793","Tho Xuan",0
"01","Ha Noi","273","Dan Phuong","09796","Hong Ha",0
"01","Ha Noi","273","Dan Phuong","09799","Lien Hong",0
"01","Ha Noi","273","Dan Phuong","09802","Lien Ha",0
"01","Ha Noi","273","Dan Phuong","09805","Ha Mo",0
"01","Ha Noi","273","Dan Phuong","09808","Lien Trung",0
"01","Ha Noi","273","Dan Phuong","09811","Phuong Dinh",0
"01","Ha Noi","273","Dan Phuong","09814","Thuong Mo",0
"01","Ha Noi","273","Dan Phuong","09817","Tan Hoi",0
"01","Ha Noi","273","Dan Phuong","09820","Tan Lap",0
"01","Ha Noi","273","Dan Phuong","09823","Dan Phuong",0
"01","Ha Noi","273","Dan Phuong","09826","Dong Thap",0
