"MATINH","province_name","MAHUYEN","district_name","MAXA","commune_name","n_hh"
"01","Ha Noi","018","Gia Lam","00553","Co Bi","4724"
"01","Ha Noi","018","Gia Lam","00556","Dang Xa","5683"
"01","Ha Noi","018","Gia Lam","00559","Phu Thi","2878"
"01","Ha Noi","018","Gia Lam","00562","Kim Son","3492"
"01","Ha Noi","018","Gia Lam","00565","Trau Quy","13836"
"01","Ha Noi","018","Gia Lam","00568","Duong Quang","3502"
"01","Ha Noi","018","Gia Lam","00571","Duong Xa","3973"
"01","Ha Noi","018","Gia Lam","00574","Dong Du","1912"
"01","Ha Noi","018","Gia Lam","00577","Da Ton","3648"
"01","Ha Noi","018","Gia Lam","00580","Kieu Ky","4199"
"01","Ha Noi","018","Gia Lam","00583","Bat Trang","2373"
"01","Ha Noi","018","Gia Lam","00586","Kim Lan","1734"
"01","Ha Noi","018","Gia Lam","00589","Van Duc","2035"
"01","Ha Noi","019","Nam Tu Liem","00592","Cau Dien","7920"
"01","Ha Noi","019","Nam Tu Liem","00622","Xuan Phuong","5147"
"01","Ha Noi","019","Nam Tu Liem","00623","Phuong Canh","7527"
"01","Ha Noi","019","Nam Tu Liem","00625","My Dinh 1","9435"
"01","Ha Noi","019","Nam Tu Liem","00626","My Dinh 2","8224"
"01","Ha Noi","019","Nam Tu Liem","00628","Tay Mo","7075"
"01","Ha Noi","019","Nam Tu Liem","00631","Me Tri","9373"
"01","Ha Noi","019","Nam Tu Liem","00632","Phu Do","4618"
"01","Ha Noi","019","Nam Tu Liem","00634","Dai Mo","8814"
"01","Ha Noi","019","Nam Tu Liem","00637","Trung Van","13000"
"01","Ha Noi","020","Thanh Tri","00640","Van Dien","4555"
"01","Ha Noi","020","Thanh Tri","00643","Tan Trieu","11733"
"01","Ha Noi","020","Thanh Tri","00646","Thanh Liet","5370"
"01","Ha Noi","020","Thanh Tri","00649","Ta Thanh Oai","11397"
"01","Ha Noi","020","Thanh Tri","00652","Huu Hoa","3290"
"01","Ha Noi","020","Thanh Tri","00655","Tam Hiep","4967"
"01","Ha Noi","020","Thanh Tri","00658","Tu Hiep","5528"
"01","Ha Noi","020","Thanh Tri","00661","Yen My","1783"
"01","Ha Noi","020","Thanh Tri","00664","Vinh Quynh","7087"
"01","Ha Noi","020","Thanh Tri","00667","Ngu Hiep","4133"
"01","Ha Noi","020","Thanh Tri","00670","Duyen Ha","1885"
"01","Ha Noi","020","Thanh Tri","00673","Ngoc Hoi","3914"
"01","Ha Noi","020","Thanh Tri","00676","Van Phuc","3788"
"01","Ha Noi","020","Thanh Tri","00679","Dai ang","3230"
"01","Ha Noi","020","Thanh Tri","00682","Lien Ninh","4668"
