"","IDHO","MATINH","MAHUYEN","MAXA","MADIABAN","HOSO","KYDIEUTRA","M4B12A1_MA","M4B12A1_C1","M4B12A1_C1_GHIRO","M4B12A1_C2","M4B12A1_C3","M4B12A1_C4","M4B12A1_C5","M4B12A1_C6"
"198","24115003013","64","637","24115","003","013",3,1,2,"","Nhà máy tinh bột sắn Phú Túc","24076",3,NA,55890
"199","24115003014","64","637","24115","003","014",3,1,2,"","Nhà máy tinh bột sắn Gia Lai","24076",5,NA,27600
"200","24115003005","64","637","24115","003","005",3,1,2,"","Nhà máy tinh bột sắn Gia Lai","24076",3,NA,71070
"201","24115003002","64","637","24115","003","002",3,1,1,"","Nhà máy tinh bột sắn Phú Túc","24076",5,NA,28600
"202","24115003011","64","637","24115","003","011",3,1,2,"","Nhà máy tinh bột sắn Gia Lai","24076",3,NA,15300
"203","24115003009","64","637","24115","003","009",3,1,2,"","Nhà máy tinh bột sắn gia lai","24076",6,NA,26450
"204","24115003006","64","637","24115","003","006",3,1,2,"","Nhà máy tinh bột sắn sắn gia lai","24076",7,NA,64400
"205","24115003012","64","637","24115","003","012",3,1,2,"","Nhà máy tinh bột sắn Gia Lai","24076",4,NA,29040
"206","24115003001","64","637","24115","003","001",3,1,2,"","Nhà máy tinh bột sắn sắn gia lai","24076",5,NA,33600
"207","24115003007","64","637","24115","003","007",3,1,2,"","Nhà máy tinh bột sắn gia lai","24076",4,NA,92000
"208","24115003008","64","637","24115","003","008",3,1,2,"","nhà máy tinh  bột sắn gia lai","24076",7,NA,39100
"209","24060012015","64","638","24060","012","015",3,1,1,"","99","23968",5,NA,109800
"210","24060012008","64","638","24060","012","008",3,3,1,"","99","24060",7,NA,5000
"211","24060012012","64","638","24060","012","012",3,3,1,"","99","24060",10,NA,18000
"212","24060012009","64","638","24060","012","009",3,3,1,"","99","24060",15,NA,14000
"213","24060012013","64","638","24060","012","013",3,3,1,"","99","24060",12,NA,25000
"214","23983012013","64","639","23983","012","013",3,1,1,"","99","23983",4,NA,20000
"215","23983012006","64","639","23983","012","006",3,1,1,"","99","23983",5,NA,28000
"216","23983012003","64","639","23983","012","003",3,1,1,"","99","23983",5,NA,15000
"217","23983012001","64","639","23983","012","001",3,1,1,"","99","23983",4,NA,22000
"218","23983012015","64","639","23983","012","015",3,1,2,"","99","24046",2,NA,44000
"219","23983012002","64","639","23983","012","002",3,1,1,"","99","23983",4,NA,32000
"220","23983012008","64","639","23983","012","008",3,1,1,"","99","23983",4,NA,12000
"221","23983012009","64","639","23983","012","009",3,1,1,"","99","23983",4,NA,15000
"222","23983012004","64","639","23983","012","004",3,1,1,"","99","23983",5,NA,30000
"223","24221007006","66","646","24221","007","006",3,1,1,"","99","24265",2,NA,33000
"224","24221007010","66","646","24221","007","010",3,1,1,"","99","24265",5,NA,47200
"225","24221007015","66","646","24221","007","015",3,1,1,"","99","24265",3,NA,38000
"226","24221007012","66","646","24221","007","012",3,1,1,"","99","24221",6,NA,68000
"227","24221007003","66","646","24221","007","003",3,1,1,"","99","24265",3,NA,60000
"228","24221007013","66","646","24221","007","013",3,1,1,"","99","24265",4,NA,62000
"229","24221007011","66","646","24221","007","011",3,1,1,"","99","24265",5,NA,34000
"230","24221007009","66","646","24221","007","009",3,1,1,"","99","24265",5,NA,65000
"231","24221007004","66","646","24221","007","004",3,1,1,"","99","24373",3,NA,28000
"232","24221007001","66","646","24221","007","001",3,1,1,"","99","24265",2,NA,42000
"233","24221007007","66","646","24221","007","007",3,1,1,"","99","24265",3,NA,15000
"234","24221007005","66","646","24221","007","005",3,1,1,"","99","24373",1,NA,6000
"235","25213022006","70","689","25213","022","006",3,1,3,"","99","25858",5,NA,0
"236","25498012002","72","705","25498","012","002",3,1,1,"","cty Bảo Duy","25510",2,NA,1329
"237","25537008002","72","706","25537","008","002",3,1,1,"","Công ty TNHH sản xuất tinh bột khoai mỳ Việt úc","25537",2,NA,2100000
"238","25537008001","72","706","25537","008","001",3,1,1,"","99","25531",1,NA,154000
"239","25537008015","72","706","25537","008","015",3,1,1,"","99","25456",1,NA,420000
"240","25543026004","72","706","25543","026","004",3,1,3,"","lò mì thành Thái","25531",15,NA,121500
"241","01360004009","04","043","01360","004","009",2,1,1,NA,"99","01267",1,NA,1100
"242","01360004012","04","043","01360","004","012",2,1,1,NA,"99","01267",2,NA,7120
"243","01360004013","04","043","01360","004","013",2,1,1,NA,"99","01267",1,NA,3200
"244","01360004014","04","043","01360","004","014",2,1,1,NA,"99","01267",1,NA,2600
"245","02446001009","08","075","02446","001","009",2,1,1,NA,"99","02446",3,NA,700
"246","02452009005","08","075","02452","009","005",2,1,1,NA,"99","02434",2,NA,4000
"247","02452009007","08","075","02452","009","007",2,1,1,NA,"99","02464",2,NA,18000
"248","02452009009","08","075","02452","009","009",2,1,5,"xưởng chế biến","xưởng chế biến tô văn phong","02452",3,NA,34020
"249","02452009014","08","075","02452","009","014",2,1,1,NA,"99","02452",1,NA,44400
"250","02452009016","08","075","02452","009","016",2,1,1,NA,"99","02443",2,NA,40000
"251","02464011010","08","075","02464","011","010",2,1,3,NA,"99","02464",3,NA,8000
"252","02686007010","10","082","02686","007","010",2,1,2,NA,"99","02686",1,NA,5000
"253","02686007012","10","082","02686","007","012",2,1,2,NA,"99","02686",2,NA,2500
"254","02959010001","10","087","02959","010","001",2,1,1,NA,"99","02947",3,NA,13000
"255","02959010002","10","087","02959","010","002",2,1,1,NA,"99","02947",5,NA,14000
"256","02959010003","10","087","02959","010","003",2,1,1,NA,"tân an","03079",2,NA,22100
"257","02959010006","10","087","02959","010","006",2,1,1,NA,"99","02959",5,NA,2600
"258","02959010011","10","087","02959","010","011",2,1,1,NA,"99","02947",5,NA,24000
"259","02959010013","10","087","02959","010","013",2,1,1,NA,"99","02947",2,NA,22750
"260","02959010014","10","087","02959","010","014",2,1,1,NA,"99","02947",5,NA,20150
"261","02959010015","10","087","02959","010","015",2,1,1,NA,"tân an","03079",3,NA,18200
"262","02971014001","10","087","02971","014","001",2,1,1,NA,"99","02947",5,NA,3380
"263","02971014005","10","087","02971","014","005",2,1,1,NA,"99","02947",5,NA,3900
"264","03158003001","11","096","03158","003","001",2,1,4,NA,NA,NA,NA,NA,640
"265","03158003010","11","096","03158","003","010",2,1,4,NA,NA,NA,NA,NA,3240
"266","03158003012","11","096","03158","003","012",2,1,4,NA,NA,NA,NA,NA,1620
