"","MATINH","MAHUYEN","MAXA","MADIABAN","HOSO","IDHO","timing","harvest_combine","harvest_strawbaler","harvest_manual","harvest_other","other_specify","n_year_harvest","dry_method","dry_other","n_year_dry","store_method","moisture","KYDIEUTRA","dry_mechan","hermetic"
"77",4,42,1318,9,13,1318009013,3,0,0,1,0,NA,NA,3,NA,NA,2,1,1,0,0
"78",4,42,1318,9,14,1318009014,3,0,0,1,0,NA,NA,3,NA,NA,2,1,1,0,0
"79",4,42,1318,9,15,1318009015,3,0,0,1,0,NA,NA,3,NA,NA,2,1,1,0,0
"80",4,43,1321,11,2,1321011002,3,0,0,1,0,NA,NA,3,NA,NA,3,1,1,0,0
"81",4,43,1321,11,3,1321011003,3,0,0,1,0,NA,NA,2,NA,NA,2,1,1,0,0
"82",4,43,1321,11,4,1321011004,3,0,0,1,0,NA,NA,3,NA,NA,3,1,1,0,0
"83",4,43,1321,11,6,1321011006,2,0,0,1,0,NA,NA,2,NA,NA,2,2,1,0,0
"84",4,43,1321,11,7,1321011007,3,0,0,1,0,NA,NA,2,NA,NA,2,2,1,0,0
"85",4,43,1321,11,8,1321011008,2,0,0,1,0,NA,NA,2,NA,NA,2,2,1,0,0
"86",4,43,1321,11,9,1321011009,2,1,0,0,0,NA,5,2,NA,NA,2,2,1,0,0
"87",4,43,1321,11,10,1321011010,2,1,0,0,0,NA,4,2,NA,NA,2,2,1,0,0
"88",4,43,1321,11,11,1321011011,2,1,0,0,0,NA,5,2,NA,NA,2,2,1,0,0
"89",4,43,1321,11,13,1321011013,2,1,0,0,0,NA,3,2,NA,NA,2,2,1,0,0
"90",4,47,1498,4,1,1498004001,3,1,0,1,0,NA,3,2,NA,NA,3,2,1,0,0
"91",4,47,1498,4,2,1498004002,3,1,0,1,0,NA,2,2,NA,NA,3,2,1,0,0
"92",4,47,1498,4,3,1498004003,3,0,0,1,0,NA,NA,2,NA,NA,2,2,1,0,0
"93",4,47,1498,4,4,1498004004,3,0,0,1,0,NA,NA,2,NA,NA,2,2,1,0,0
"94",4,47,1498,4,5,1498004005,3,0,0,1,0,NA,NA,2,NA,NA,2,1,1,0,0
"95",4,47,1498,4,6,1498004006,3,0,0,1,0,NA,NA,2,NA,NA,2,1,1,0,0
"96",4,47,1498,4,7,1498004007,3,0,0,1,0,NA,NA,2,NA,NA,2,1,1,0,0
"97",4,47,1498,4,8,1498004008,3,0,0,1,0,NA,NA,3,NA,NA,2,2,1,0,0
"98",4,47,1498,4,9,1498004009,2,0,0,1,0,NA,NA,3,NA,NA,3,2,1,0,0
"99",4,47,1498,4,10,1498004010,3,0,0,1,0,NA,NA,3,NA,NA,2,2,1,0,0
"100",4,47,1498,4,11,1498004011,3,0,0,1,0,NA,NA,3,NA,NA,3,2,1,0,0
"101",4,47,1498,4,12,1498004012,3,0,0,1,0,NA,NA,2,NA,NA,2,2,1,0,0
"102",4,47,1498,4,13,1498004013,3,0,0,1,0,NA,NA,2,NA,NA,2,1,1,0,0
"103",4,47,1498,4,14,1498004014,2,0,0,1,0,NA,NA,3,NA,NA,3,2,1,0,0
"104",4,47,1498,4,16,1498004016,3,0,0,0,0,NA,NA,2,NA,NA,2,1,1,0,0
"105",4,48,1537,4,1,1537004001,2,1,0,0,0,NA,3,3,NA,NA,2,2,1,0,0
"106",4,48,1537,4,2,1537004002,2,1,0,0,0,NA,3,3,NA,NA,2,2,1,0,0
"107",4,48,1537,4,3,1537004003,2,1,0,0,0,NA,3,3,NA,NA,2,1,1,0,0
"108",4,48,1537,4,5,1537004005,2,1,0,0,0,NA,3,2,NA,NA,2,2,1,0,0
"109",4,48,1537,4,6,1537004006,2,1,0,0,0,NA,4,2,NA,NA,2,2,1,0,0
"110",4,48,1537,4,10,1537004010,3,1,0,0,0,NA,5,2,NA,NA,2,2,1,0,0
"111",4,48,1537,4,11,1537004011,2,1,0,0,0,NA,3,3,NA,NA,1,2,1,0,0
"112",4,48,1537,4,13,1537004013,2,1,0,0,0,NA,3,3,NA,NA,3,2,1,0,0
"113",4,48,1537,4,14,1537004014,3,1,0,0,0,NA,2,2,NA,NA,2,2,1,0,0
"114",4,48,1537,4,15,1537004015,2,1,0,0,0,NA,3,2,NA,NA,2,2,1,0,0
"115",4,51,1666,3,1,1666003001,3,0,0,1,0,NA,NA,2,NA,NA,2,1,1,0,0
"116",4,51,1666,3,2,1666003002,2,0,0,1,0,NA,NA,2,NA,NA,5,1,1,0,NA
"117",4,51,1666,3,3,1666003003,3,1,0,0,0,NA,3,2,NA,NA,2,1,1,0,0
"118",4,51,1666,3,4,1666003004,2,0,0,1,0,NA,NA,2,NA,NA,2,2,1,0,0
"119",4,51,1666,3,5,1666003005,3,0,0,1,0,NA,NA,2,NA,NA,2,1,1,0,0
"120",4,51,1666,3,6,1666003006,3,0,0,1,0,NA,NA,2,NA,NA,2,2,1,0,0
"121",4,51,1666,3,7,1666003007,3,1,0,0,0,NA,2,2,NA,NA,2,1,1,0,0
"122",4,51,1666,3,8,1666003008,2,1,0,0,0,NA,3,2,NA,NA,2,2,1,0,0
"123",4,51,1666,3,9,1666003009,3,1,0,0,0,NA,4,2,NA,NA,2,1,1,0,0
"124",4,51,1666,3,10,1666003010,3,0,0,1,0,NA,25,3,NA,NA,2,1,1,0,0
"125",4,51,1666,3,11,1666003011,3,1,0,0,0,NA,2,2,NA,NA,2,1,1,0,0
"126",4,51,1666,3,13,1666003013,1,0,0,1,0,NA,NA,2,NA,NA,2,2,1,0,0
"127",4,51,1666,3,14,1666003014,3,1,0,0,0,NA,2,2,NA,NA,2,1,1,0,0
"128",4,51,1666,3,15,1666003015,2,1,0,0,0,NA,3,2,NA,NA,2,2,1,0,0
"129",4,51,1699,4,1,1699004001,3,0,0,1,0,NA,NA,2,NA,NA,2,1,1,0,0
"130",4,51,1699,4,2,1699004002,3,0,0,1,0,NA,NA,2,NA,NA,2,2,1,0,0
"131",4,51,1699,4,4,1699004004,2,0,0,1,0,NA,NA,2,NA,NA,2,2,1,0,0
"132",4,51,1699,4,5,1699004005,3,0,0,1,0,NA,NA,2,NA,NA,2,1,1,0,0
"133",4,51,1699,4,6,1699004006,3,0,0,1,0,NA,NA,2,NA,NA,2,2,1,0,0
"134",4,51,1699,4,7,1699004007,3,0,0,1,0,NA,NA,2,NA,NA,2,1,1,0,0
"135",4,51,1699,4,8,1699004008,2,0,0,1,0,NA,NA,2,NA,NA,2,2,1,0,0
"136",4,51,1699,4,9,1699004009,3,0,0,1,0,NA,NA,2,NA,NA,2,1,1,0,0
"137",4,51,1699,4,10,1699004010,2,0,0,1,0,NA,NA,2,NA,NA,2,2,1,0,0
"138",4,51,1699,4,13,1699004013,3,0,0,1,0,NA,NA,2,NA,NA,2,1,1,0,0
"139",4,40,1705,13,1,1705013001,2,1,0,0,0,NA,6,3,NA,NA,2,2,1,0,0
"140",4,40,1705,13,2,1705013002,2,1,0,0,0,NA,6,3,NA,NA,2,2,1,0,0
"141",4,40,1705,13,3,1705013003,3,1,0,0,0,NA,5,2,NA,NA,2,1,1,0,0
"142",4,40,1705,13,4,1705013004,3,0,1,0,0,NA,10,2,NA,NA,2,1,1,0,0
"143",4,40,1705,13,5,1705013005,3,1,0,0,0,NA,4,2,NA,NA,2,1,1,0,0
"144",4,40,1705,13,7,1705013007,3,1,0,0,0,NA,5,2,NA,NA,2,1,1,0,0
"145",4,40,1705,13,8,1705013008,2,1,0,0,0,NA,6,3,NA,NA,2,2,1,0,0
"146",4,40,1705,13,9,1705013009,2,1,0,0,0,NA,6,3,NA,NA,2,2,1,0,0
"147",4,40,1705,13,12,1705013012,3,1,0,0,0,NA,5,2,NA,NA,3,1,1,0,0
"148",4,40,1705,13,13,1705013013,3,1,0,0,0,NA,5,2,NA,NA,2,1,1,0,0
"149",4,40,1705,13,14,1705013014,3,1,0,0,0,NA,5,2,NA,NA,2,1,1,0,0
"150",4,40,1705,13,15,1705013015,2,1,0,0,0,NA,6,3,NA,NA,2,2,1,0,0
"151",4,52,1726,7,5,1726007005,3,0,1,0,0,NA,8,1,NA,NA,2,2,1,0,0
"152",6,58,1849,5,1,1849005001,3,0,1,0,0,NA,2,2,NA,NA,2,2,1,0,0
"153",6,58,1849,5,2,1849005002,3,1,0,0,0,NA,3,2,NA,NA,2,2,1,0,0
"154",6,58,1849,5,4,1849005004,3,1,0,0,0,NA,2,2,NA,NA,2,2,1,0,0
"155",6,58,1849,5,5,1849005005,3,0,0,1,0,NA,NA,2,NA,NA,2,2,1,0,0
"156",6,58,1849,5,6,1849005006,2,0,0,1,0,NA,NA,2,NA,NA,2,2,1,0,0
"157",6,58,1849,5,7,1849005007,2,1,0,0,0,NA,5,2,NA,NA,2,2,1,0,0
"158",6,58,1849,5,9,1849005009,2,1,0,0,0,NA,5,2,NA,NA,2,2,1,0,0
"159",6,58,1849,5,10,1849005010,2,1,0,0,0,NA,5,2,NA,NA,2,2,1,0,0
"160",6,58,1849,5,12,1849005012,3,0,0,1,0,NA,NA,2,NA,NA,4,1,1,0,1
"161",6,58,1849,5,13,1849005013,2,0,0,1,0,NA,NA,2,NA,NA,2,1,1,0,0
"162",6,61,1912,7,1,1912007001,3,1,0,1,0,NA,4,3,NA,NA,2,1,1,0,0
"163",6,61,1912,7,2,1912007002,3,0,0,1,0,NA,NA,3,NA,NA,2,1,1,0,0
"164",6,61,1912,7,3,1912007003,3,1,0,0,0,NA,4,3,NA,NA,2,1,1,0,0
"165",6,61,1912,7,4,1912007004,3,1,0,0,0,NA,4,3,NA,NA,2,1,1,0,0
"166",6,61,1912,7,5,1912007005,3,1,0,0,0,NA,4,3,NA,NA,2,1,1,0,0
"167",6,61,1912,7,6,1912007006,3,0,0,1,0,NA,NA,3,NA,NA,2,1,1,0,0
"168",6,61,1912,7,7,1912007007,3,1,0,1,0,NA,4,3,NA,NA,2,1,1,0,0
"169",6,61,1912,7,8,1912007008,3,1,0,0,0,NA,4,3,NA,NA,2,1,1,0,0
