"IDHO","MATINH","MAHUYEN","MAXA","MADIABAN","HOSO","KYDIEUTRA","M4B11_MA","M4B11_C3","M4B11_C3AD","M4B11_C3AM","M4B11_C3AY","M4B11_C3B","M4B11_C4","M4B11_C5","wt45"
"00898003007","02","029","00898","003","007",10,4,3600,14,5,2022,NA,2160,21600,348
"00898003008","02","029","00898","003","008",10,4,2500,13,5,2022,NA,1500,15000,348
"00898003009","02","029","00898","003","009",10,4,2100,6,5,2022,2,1260,12600,348
"00898003010","02","029","00898","003","010",10,4,4940,15,5,2022,NA,2950,29500,348
"00898003011","02","029","00898","003","011",10,4,3600,14,5,2022,NA,2060,20600,348
"00898003012","02","029","00898","003","012",10,4,2035,12,5,2022,NA,1200,12000,348
"00898003013","02","029","00898","003","013",10,4,1330,5,5,2022,NA,800,8000,348
"00898003015","02","029","00898","003","015",10,4,2420,14,5,2022,NA,1500,15000,348
"00925009001","02","030","00925","009","001",3,1,1800,NA,NA,NA,NA,1000,7000,361
"00925009002","02","030","00925","009","002",3,1,2700,NA,NA,NA,NA,1500,10500,361
"00925009003","02","030","00925","009","003",3,1,1700,NA,NA,NA,NA,900,6300,361
"00925009004","02","030","00925","009","004",3,1,5400,NA,NA,NA,NA,3000,21000,361
"00925009005","02","030","00925","009","005",3,1,1600,NA,NA,NA,NA,900,6300,361
"00925009006","02","030","00925","009","006",3,1,2000,NA,NA,NA,NA,1100,7700,361
"00925009007","02","030","00925","009","007",3,2,1150,7,3,2022,NA,2000,14000,361
"00925009007","02","030","00925","009","007",3,4,1500,11,6,2021,NA,2200,15400,361
"00925009008","02","030","00925","009","008",3,1,700,NA,NA,NA,NA,420,5040,361
"00925009009","02","030","00925","009","009",3,1,3000,NA,NA,NA,NA,1600,11200,361
"00925009010","02","030","00925","009","010",3,1,1100,NA,NA,NA,NA,600,4200,361
"00925009011","02","030","00925","009","011",3,1,1200,NA,NA,NA,NA,650,4550,361
"00925009012","02","030","00925","009","012",3,1,2600,NA,NA,NA,NA,1400,9800,361
"00925009013","02","030","00925","009","013",3,1,1000,NA,NA,NA,NA,550,3850,361
"00925009014","02","030","00925","009","014",3,1,2000,NA,NA,NA,NA,1100,7700,361
"00925009015","02","030","00925","009","015",3,1,4000,NA,NA,NA,NA,2200,15400,361
"00979012001","02","030","00979","012","001",12,1,5660,NA,NA,NA,NA,3110,21771,353
"00979012002","02","030","00979","012","002",12,1,3300,NA,NA,NA,NA,1595,11167,353
"00979012003","02","030","00979","012","003",12,1,2000,NA,NA,NA,NA,1058,7406,353
"00979012003","02","030","00979","012","003",12,6,120,22,5,2022,1,300,2400,353
"00979012004","02","030","00979","012","004",12,1,5400,NA,NA,NA,NA,2716,19010,353
"00979012005","02","030","00979","012","005",12,1,2600,NA,NA,NA,NA,1480,10360,353
"00979012006","02","030","00979","012","006",12,1,4000,NA,NA,NA,NA,1900,13300,353
"00979012007","02","030","00979","012","007",12,1,4800,NA,NA,NA,NA,2330,16310,353
"00979012007","02","030","00979","012","007",12,6,1000,20,5,2022,1,300,2700,353
"00979012008","02","030","00979","012","008",12,1,2000,NA,NA,NA,NA,1138,7969,353
"00979012009","02","030","00979","012","009",12,1,4600,NA,NA,NA,NA,2400,16954,353
"00979012010","02","030","00979","012","010",12,1,3000,NA,NA,NA,NA,1300,9100,353
"00979012011","02","030","00979","012","011",12,1,8000,NA,NA,NA,NA,3674,25715,353
"00979012012","02","030","00979","012","012",12,1,11330,NA,NA,NA,NA,5288,37016,353
"00979012013","02","030","00979","012","013",12,1,1800,NA,NA,NA,NA,938,6566,353
"00979012015","02","030","00979","012","015",12,1,5330,NA,NA,NA,NA,2660,18623,353
"00979012018","02","030","00979","012","018",12,1,4000,NA,NA,NA,NA,2058,14408,353
"00979012018","02","030","00979","012","018",12,6,200,20,6,2022,1,76,608,353
"00982010001","02","031","00982","010","001",3,1,9000,NA,NA,NA,NA,4500,24750,384
"00982010002","02","031","00982","010","002",3,1,10000,NA,NA,NA,NA,4820,26373,384
"00982010002","02","031","00982","010","002",3,6,500,20,3,2021,1,250,2250,384
"00982010003","02","031","00982","010","003",3,1,1500,NA,NA,NA,NA,720,3905,384
"00982010004","02","031","00982","010","004",3,1,4166,NA,NA,NA,NA,2100,12528,384
"00982010004","02","031","00982","010","004",3,6,1600,4,3,2021,1,750,10430,384
"00982010005","02","031","00982","010","005",3,1,5000,NA,NA,NA,NA,2500,14880,384
"00982010006","02","031","00982","010","006",3,1,5670,NA,NA,NA,NA,2800,15458,384
"00982010007","02","031","00982","010","007",3,1,3230,NA,NA,NA,NA,1550,8437,384
"00982010007","02","031","00982","010","007",3,6,500,18,3,2021,1,225,2025,384
"00982010008","02","031","00982","010","008",3,1,5000,NA,NA,NA,NA,2500,13613,384
"00982010009","02","031","00982","010","009",3,1,1660,NA,NA,NA,NA,900,4884,384
"00982010010","02","031","00982","010","010",3,1,2500,NA,NA,NA,NA,1200,6490,384
"00982010010","02","031","00982","010","010",3,6,500,6,3,2021,1,225,3080,384
"00982010011","02","031","00982","010","011",3,1,1600,NA,NA,NA,NA,750,4875,384
"00982010012","02","031","00982","010","012",3,1,3232,NA,NA,NA,NA,950,5137,384
"00982010013","02","031","00982","010","013",3,1,8000,NA,NA,NA,NA,4000,21835,384
"00982010013","02","031","00982","010","013",3,6,2000,16,3,2021,1,950,9450,384
"00982010015","02","031","00982","010","015",3,1,4666,NA,NA,NA,NA,2190,12082,384
"00982010015","02","031","00982","010","015",3,6,600,9,4,2021,1,245,2133,384
"00985007002","02","031","00985","007","002",8,2,2060,16,2,2022,NA,1200,7200,364
"00985007002","02","031","00985","007","002",8,4,2500,8,7,2021,NA,1300,7800,364
